トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
クルーザー級の試合はまだだけど、魂蝕症の件で進展があったんだ。詳しくはジムの中で話をさせてくれ。			クルーザー級の試合はまだだけど、魂蝕症の件で進展があったんだ。詳しくはジムの中で話をさせてくれ。			魂を蝕む病							
こんにちは、Forenameさん。魂蝕症の治療法について、なんとか糸口が掴めたんです。			こんにちは、Forenameさん。魂蝕症の治療法について、なんとか糸口が掴めたんです。			魂を蝕む病							
さてと……新しい報告をする前に、今わかっていることをおさらいしておこうか。ちょっと立て込んだ事情だからね……。			さてと……新しい報告をする前に、今わかっていることをおさらいしておこうか。ちょっと立て込んだ事情だからね……。			魂を蝕む病							
前回、ライトヘビー級の王者になったアンタを、ウィケッドサンダー……ユト姉が強襲した。目的は「魂蝕症」の治療のために魂を奪うこと。			前回、ライトヘビー級の王者になったアンタを、ウィケッドサンダー……ユト姉が強襲した。目的は「魂蝕症」の治療のために魂を奪うこと。			魂を蝕む病							
魂蝕症は私たちアルカディアの闘士のように、強力な魔物の魂を注入し続けた者が発症する病らしい。			魂蝕症は私たちアルカディアの闘士のように、強力な魔物の魂を注入し続けた者が発症する病らしい。			魂を蝕む病							
引退したとされてる多くの闘士たちが、本当はその病で亡くなってる、ってユト姉から聞いたんだ。			引退したとされてる多くの闘士たちが、本当はその病で亡くなってる、ってユト姉から聞いたんだ。			魂を蝕む病							
あれから、魂蝕症の治療法を調べたんです。それで、いくつかわかったことがあります。			あれから、魂蝕症の治療法を調べたんです。それで、いくつかわかったことがあります。			魂を蝕む病							
この子はユト姉に似て、エレクトロープ技術の才能があってさ、独学で様々なスキルを身につけてるんだよ。			この子はユト姉に似て、エレクトロープ技術の才能があってさ、独学で様々なスキルを身につけてるんだよ。			魂を蝕む病							
いえいえ、今回はオブリビオンって人たちのおかげです。というのも私、魂に関する情報を集めようと、基幹システムのハッキングを試みたんですよ。			いえいえ、今回はオブリビオンって人たちのおかげです。というのも私、魂に関する情報を集めようと、基幹システムのハッキングを試みたんですよ。			魂を蝕む病							
もちろん結果は大失敗……。基幹システムへの不正なアクセスを監視していた、オブリビオンの人に見つかってしまいましてね。			もちろん結果は大失敗……。基幹システムへの不正なアクセスを監視していた、オブリビオンの人に見つかってしまいましてね。			魂を蝕む病							
制裁を受けるような危険な行為だからやめろって、ひどく怒られちゃいました。			制裁を受けるような危険な行為だからやめろって、ひどく怒られちゃいました。			魂を蝕む病							
ただ、こちらの事情を話したところ、魂資源の加工施設、オリジェニクスの研究データをくれたんです。それを読み進めた結果、いくつかのことがわかりました。			ただ、こちらの事情を話したところ、魂資源の加工施設、オリジェニクスの研究データをくれたんです。それを読み進めた結果、いくつかのことがわかりました。			魂を蝕む病							
まず、魔物の魂を兵の戦力強化に用いる研究の一環として、軍も魂蝕症という病を認識していたこと……。そして、発症の有無を調べる検診法も記載されていました。			まず、魔物の魂を兵の戦力強化に用いる研究の一環として、軍も魂蝕症という病を認識していたこと……。そして、発症の有無を調べる検診法も記載されていました。			魂を蝕む病							
