採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
ただ……もう一度くらい、彼を「先輩」と呼びたくてね。その願いは叶いそう……本当に、ありがとう。			ただ……もう一度くらい、彼を「先輩」と呼びたくてね。その願いは叶いそう……本当に、ありがとう。			深淵に光差す日							
それにしても……あの「闇鉄鉱」すら採掘するなんてね。もう、あたしがキミに教えることは、何もないみたい。			それにしても……あの「闇鉄鉱」すら採掘するなんてね。もう、あたしがキミに教えることは、何もないみたい。			深淵に光差す日							
これからは、冒険者として世界を旅するその先で、学び覚えた採掘師の知識と技を使ってみせてほしい。採掘師という仕事を、世界に見せつけてほしい。			これからは、冒険者として世界を旅するその先で、学び覚えた採掘師の知識と技を使ってみせてほしい。採掘師という仕事を、世界に見せつけてほしい。			深淵に光差す日							
楽しみね……。世界の人々が採掘師ギルドを訪れるたびに、キミの名前を褒め称える、その日が来ることが。			楽しみね……。世界の人々が採掘師ギルドを訪れるたびに、キミの名前を褒め称える、その日が来ることが。			深淵に光差す日							
「採掘師」の物語が、ひとつの区切りを迎えました！次の「採掘師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「採掘師」の物語が、ひとつの区切りを迎えました！次の「採掘師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			深淵に光差す日							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			深淵に光差す日							
条件を満たし、採掘師ギルドの、「アダルベルタ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、採掘師ギルドの、「アダルベルタ」に話しかけ、新たなクラスクエストを開始しましょう！			深淵に光差す日							
忘れられた騎士亭のハイムリックは、新たな任務を命じられたようだ。			忘れられた騎士亭のハイムリックは、新たな任務を命じられたようだ。			若さ、そして焦り							
ハイムリックと話した。次の任務は低地ドラヴァニアでの先遣調査らしい。低地ドラヴァニアのシャーレアン工匠街で「ハイムリック」と合流しよう。			ハイムリックと話した。次の任務は低地ドラヴァニアでの先遣調査らしい。低地ドラヴァニアのシャーレアン工匠街で「ハイムリック」と合流しよう。			若さ、そして焦り							
まずは、周辺でどのような鉱石が採掘できるのか、調べることになった。シャーレアン工匠街付近の「未調査の鉱脈」を3ヶ所調べよう。			まずは、周辺でどのような鉱石が採掘できるのか、調べることになった。シャーレアン工匠街付近の「未調査の鉱脈」を3ヶ所調べよう。			若さ、そして焦り							
未知の鉱石を3つ入手した。シャーレアン工匠街の「ハイムリック」に「未知の鉱石」を渡そう。			未知の鉱石を3つ入手した。シャーレアン工匠街の「ハイムリック」に「未知の鉱石」を渡そう。			若さ、そして焦り							
未知の鉱石は硬銀鉱だった。どうやら、良質な鉱床がこのあたりに眠っているようだ。シャーレアン工匠街にいる「ハイムリック」に、硬銀鉱を10個納品しよう。硬銀鉱はシャーレアン工匠街にある採掘場で採掘できる。			未知の鉱石は硬銀鉱だった。どうやら、良質な鉱床がこのあたりに眠っているようだ。シャーレアン工匠街にいる「ハイムリック」に、硬銀鉱を10個納品しよう。硬銀鉱はシャーレアン工匠街にある採掘場で採掘できる。			若さ、そして焦り							
硬銀鉱を納品した。任務も終わるかと思ったその時、ひなチョコが独断で敵を深追いしたとの報告が入る。無事に帰ってきたものの、ハイムリックに叱責され、ひなチョコは不満げな様子だ。忘れられた騎士亭の「ハイムリック」に報告しよう。			硬銀鉱を納品した。任務も終わるかと思ったその時、ひなチョコが独断で敵を深追いしたとの報告が入る。無事に帰ってきたものの、ハイムリックに叱責され、ひなチョコは不満げな様子だ。忘れられた騎士亭の「ハイムリック」に報告しよう。			若さ、そして焦り							
ハイムリックと話した。ハイムリックがひなチョコに厳しいのは、彼のことを目にかけているのが理由らしい。せっかくその名も広まってきた迅風傭兵団に、さらなる貢献を続けるため、次の任務まで採掘師としての修行を続けておこう。※採掘師のレベルが60以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			ハイムリックと話した。ハイムリックがひなチョコに厳しいのは、彼のことを目にかけているのが理由らしい。せっかくその名も広まってきた迅風傭兵団に、さらなる貢献を続けるため、次の任務まで採掘師としての修行を続けておこう。※採掘師のレベルが60以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			若さ、そして焦り							
