アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
(-テンゼンの子孫を騙る男-)今この御守りを購入された方には、なんと！お好きな四聖獣をあしらった、根付も付けるでござるよ！さあ、買った！　買った！　早いものがちだ！			(-テンゼンの子孫を騙る男-)今この御守りを購入された方には、なんと！お好きな四聖獣をあしらった、根付も付けるでござるよ！さあ、買った！　買った！　早いものがちだ！			紅玉海に繋がれ、大繁盛の輪！							
こっちは2つ、2つくれ！			こっちは2つ、2つくれ！			紅玉海に繋がれ、大繁盛の輪！							
やれやれ、テンゼンの名が、かような詐欺に用いられようとは……。			やれやれ、テンゼンの名が、かような詐欺に用いられようとは……。			紅玉海に繋がれ、大繁盛の輪！							
彼の名を悪事に利用されるのを、黙って見ているわけにはいかないよ。			彼の名を悪事に利用されるのを、黙って見ているわけにはいかないよ。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)少し懲らしめてやるとするか。あらためて、おぬしの力を貸してくれるな？			(-玄武の声-)少し懲らしめてやるとするか。あらためて、おぬしの力を貸してくれるな？			紅玉海に繋がれ、大繁盛の輪！							
テンゼンの子孫を騙る、あの男……油断なりません。一瞬、私とあのヒトの間に子が生まれていたと、錯覚しかけました。なんと卑劣な……！			テンゼンの子孫を騙る、あの男……油断なりません。一瞬、私とあのヒトの間に子が生まれていたと、錯覚しかけました。なんと卑劣な……！			紅玉海に繋がれ、大繁盛の輪！							
まったく、あんな見え透いた嘘に騙されるなんてね。いつの世も、ヒトは自分の信じたいことしか信じないんだな。			まったく、あんな見え透いた嘘に騙されるなんてね。いつの世も、ヒトは自分の信じたいことしか信じないんだな。			紅玉海に繋がれ、大繁盛の輪！							
心配せずとも、あの男の命まで奪うつもりはない。私をもふもふな猫扱いしたことは、腹立たしいがな。			心配せずとも、あの男の命まで奪うつもりはない。私をもふもふな猫扱いしたことは、腹立たしいがな。			紅玉海に繋がれ、大繁盛の輪！							
テンゼンの子孫を騙る男は、売上が良かったのか、ホクホク顔で撤収していったよぉ～。これからどうする～？			テンゼンの子孫を騙る男は、売上が良かったのか、ホクホク顔で撤収していったよぉ～。これからどうする～？			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)テンゼンの名を詐欺に使うなと迫ったところで、「子孫ではないと証明してみせろ」と反論されるだけじゃろう。それができなければ、ワシらがイチャモンをつけていることになる。			(-玄武の声-)テンゼンの名を詐欺に使うなと迫ったところで、「子孫ではないと証明してみせろ」と反論されるだけじゃろう。それができなければ、ワシらがイチャモンをつけていることになる。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)やっこさんに言い逃れの隙を与えぬためには、どうすればよいものか……。Forename、良い考えはないかのう？			(-玄武の声-)やっこさんに言い逃れの隙を与えぬためには、どうすればよいものか……。Forename、良い考えはないかのう？			紅玉海に繋がれ、大繁盛の輪！							
何と言う？			何と言う？			紅玉海に繋がれ、大繁盛の輪！							
本物のテンゼンの子孫を演じよう			本物のテンゼンの子孫を演じよう			紅玉海に繋がれ、大繁盛の輪！							
こちらには四聖獣がいる			こちらには四聖獣がいる			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)なるほどのう。本物の子孫が現れれば、あやつが偽物という証明になるわけじゃな。			(-玄武の声-)なるほどのう。本物の子孫が現れれば、あやつが偽物という証明になるわけじゃな。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)ほっほっほ、そういうことか。ワシらの存在こそがテンゼンの存在を証明する大きな要素。			(-玄武の声-)ほっほっほ、そういうことか。ワシらの存在こそがテンゼンの存在を証明する大きな要素。			紅玉海に繋がれ、大繁盛の輪！							
(-玄武の声-)だとすれば……ワシらを連れたおぬしがテンゼンの子孫を演じればいい！本物の子孫が現れれば、嘘を認めざるをえんからのう！			(-玄武の声-)だとすれば……ワシらを連れたおぬしがテンゼンの子孫を演じればいい！本物の子孫が現れれば、嘘を認めざるをえんからのう！			紅玉海に繋がれ、大繁盛の輪！							
ならば、あれも必要になるだろう。			ならば、あれも必要になるだろう。			紅玉海に繋がれ、大繁盛の輪！							
ソロバン、ついてこい。醴泉神社に戻るぞ。			ソロバン、ついてこい。醴泉神社に戻るぞ。			紅玉海に繋がれ、大繁盛の輪！							
では、僕たちは偽物の行方を追うことにしよう。先導は、この街に詳しいキミに頼みたい。準備ができたら、朱雀に声をかけてくれ。			では、僕たちは偽物の行方を追うことにしよう。先導は、この街に詳しいキミに頼みたい。準備ができたら、朱雀に声をかけてくれ。			紅玉海に繋がれ、大繁盛の輪！							
テンゼンの子孫を騙るあの男を追いかけるぞ。準備ができたら、朱雀に声をかけてくれ。			テンゼンの子孫を騙るあの男を追いかけるぞ。準備ができたら、朱雀に声をかけてくれ。			紅玉海に繋がれ、大繁盛の輪！							
まずは、先ほどの買い物客から、テンゼンの子孫を騙る男の行方を聞いてみましょう。			まずは、先ほどの買い物客から、テンゼンの子孫を騙る男の行方を聞いてみましょう。			紅玉海に繋がれ、大繁盛の輪！							
