リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
古風な戸棚から香ばしい焼き菓子を入手			古風な戸棚から香ばしい焼き菓子を入手			焼き菓子こわい							
陰気なピクシーに香ばしい焼き菓子を渡す			陰気なピクシーに香ばしい焼き菓子を渡す			焼き菓子こわい							
陽気なピクシーと話す			陽気なピクシーと話す			焼き菓子こわい							
ウリエンジェが全然かまってくれないわ！			ウリエンジェが全然かまってくれないわ！			焼き菓子こわい							
ウリエンジェが、最近かまってくれない……。いつもは相手をしてくれるのに……。もう決めた、イタズラしてやる……。			ウリエンジェが、最近かまってくれない……。いつもは相手をしてくれるのに……。もう決めた、イタズラしてやる……。			焼き菓子こわい							
そうよ、そうよ！そ、こ、で……イタズラの仕込みを手伝ってね？ウリエンジェの弱点、教えてあげるから！			そうよ、そうよ！そ、こ、で……イタズラの仕込みを手伝ってね？ウリエンジェの弱点、教えてあげるから！			焼き菓子こわい							
言っておくけど、拒否権なんてないんだから！さ、準備のため「手鏡の湖」に水くみにいかなくっちゃ！アナタも、ついてきてちょうだい！			言っておくけど、拒否権なんてないんだから！さ、準備のため「手鏡の湖」に水くみにいかなくっちゃ！アナタも、ついてきてちょうだい！			焼き菓子こわい							
陽気なピクシーと「手鏡の湖」に行くんでしょ？いってらっしゃ～い、ぷくく……。			陽気なピクシーと「手鏡の湖」に行くんでしょ？いってらっしゃ～い、ぷくく……。			焼き菓子こわい							
イタズラには、清らかな水が必要なの。アナタには、水を運んでもらいたいのだけれど……ただ運ぶだけじゃ、つまらなくて欠伸が出ちゃう！			イタズラには、清らかな水が必要なの。アナタには、水を運んでもらいたいのだけれど……ただ運ぶだけじゃ、つまらなくて欠伸が出ちゃう！			焼き菓子こわい							
だから、この辺りの妖精に、アナタと遊ぶように頼んだわ。頑張って死なずに、「篤学者の荘園」にたどり着いてね！もちろん、時間がかかりすぎてもダメよ！			だから、この辺りの妖精に、アナタと遊ぶように頼んだわ。頑張って死なずに、「篤学者の荘園」にたどり着いてね！もちろん、時間がかかりすぎてもダメよ！			焼き菓子こわい							
いいこと？重い水桶を「陰気なピクシー」に渡すのよ！それじゃ、頑張ってね！			いいこと？重い水桶を「陰気なピクシー」に渡すのよ！それじゃ、頑張ってね！			焼き菓子こわい							
水をこぼしたの？それじゃ、今度こそちゃんと届けてね！			水をこぼしたの？それじゃ、今度こそちゃんと届けてね！			焼き菓子こわい							
あれ、水くみを頼まれてるんじゃないの？がんばってね～、ぷくく……。			あれ、水くみを頼まれてるんじゃないの？がんばってね～、ぷくく……。			焼き菓子こわい							
おかえり……。ふーん、ちゃんと生きてここまで来るなんて、やるじゃん。キミが魔物から逃げ惑う姿、こっそり見てたよ……。			おかえり……。ふーん、ちゃんと生きてここまで来るなんて、やるじゃん。キミが魔物から逃げ惑う姿、こっそり見てたよ……。			焼き菓子こわい							
この水を魔法で温めて、「チャバ」の入ったポットに入れるんだ。ウリエンジェは、この「チャバを煮出した茶色い水」が、大嫌いなんだって……。			この水を魔法で温めて、「チャバ」の入ったポットに入れるんだ。ウリエンジェは、この「チャバを煮出した茶色い水」が、大嫌いなんだって……。			焼き菓子こわい							
彼自身が、そう言ってたんだ……。キミはボクが準備してる間に、部屋にある古風な戸棚から、ウリエンジェが嫌いな「香ばしい焼き菓子」を取ってきて……。			彼自身が、そう言ってたんだ……。キミはボクが準備してる間に、部屋にある古風な戸棚から、ウリエンジェが嫌いな「香ばしい焼き菓子」を取ってきて……。			焼き菓子こわい							
キミはボクが準備してる間に、部屋にある古風な戸棚から、ウリエンジェが嫌いな「香ばしい焼き菓子」を取ってきて……。ぷくく……ウリエンジェ、嫌がるだろうな……。			キミはボクが準備してる間に、部屋にある古風な戸棚から、ウリエンジェが嫌いな「香ばしい焼き菓子」を取ってきて……。ぷくく……ウリエンジェ、嫌がるだろうな……。			焼き菓子こわい							
ウリエンジェが大嫌いなお菓子は見つかった……？			ウリエンジェが大嫌いなお菓子は見つかった……？			焼き菓子こわい							
よし、これで完璧……お茶もお菓子も、ウリエンジェが嫌いなものばかり……また、しかめ面で飲み食いするんだろうな……。			よし、これで完璧……お茶もお菓子も、ウリエンジェが嫌いなものばかり……また、しかめ面で飲み食いするんだろうな……。			焼き菓子こわい							
……それにしても、あいつ遅いな？いっしょに「陽気なピクシー」を呼びに行こう……。			……それにしても、あいつ遅いな？いっしょに「陽気なピクシー」を呼びに行こう……。			焼き菓子こわい							
みつけた……のんびり帰ってきてただけだったんだ……。			みつけた……のんびり帰ってきてただけだったんだ……。			焼き菓子こわい							
あら、アナタも迎えに来てくれたのね！うふふ、もうイタズラの仕込みは終わったのかしら？あとは、ウリエンジェが帰ってくるのを待つだけね！			あら、アナタも迎えに来てくれたのね！うふふ、もうイタズラの仕込みは終わったのかしら？あとは、ウリエンジェが帰ってくるのを待つだけね！			焼き菓子こわい							
