テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
……だから、猟師の俺がやる必要あんのかよ！？こういうのは、優秀な冒険者さんに頼むもんだろ！！			……だから、猟師の俺がやる必要あんのかよ！？こういうのは、優秀な冒険者さんに頼むもんだろ！！			いけない罠							
って、あれあれー、冒険者さんじゃないっすか～！時間あったりします？……撤去、お願いできます？			って、あれあれー、冒険者さんじゃないっすか～！時間あったりします？……撤去、お願いできます？			いけない罠							
ありがとうっす！ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			ありがとうっす！ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			いけない罠							
ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			ここから北に行ったところに、キャンプはあります。詳しい情報は、「テイルフェザーの猟師」に聞くといいっす！			いけない罠							
トラバサミを探しているって？ああ、それなら俺も撤去しようとしたんだが……。オ・ベン・ティアに止められたから、そのままにしてあるぜ。			トラバサミを探しているって？ああ、それなら俺も撤去しようとしたんだが……。オ・ベン・ティアに止められたから、そのままにしてあるぜ。			いけない罠							
早いとこ撤去したかったのに、自分の後輩にやらせるから、手を出すなって言うんだぜ？いったい、何のつもりだろうか。			早いとこ撤去したかったのに、自分の後輩にやらせるから、手を出すなって言うんだぜ？いったい、何のつもりだろうか。			いけない罠							
……まあ、おまえが来てくれて助かった。騎乗獣としてのチョコボにとって、脚はまさに生命線だ。だから、脚を傷める罠を狩りに使うのは厳禁なんだよ。			……まあ、おまえが来てくれて助かった。騎乗獣としてのチョコボにとって、脚はまさに生命線だ。だから、脚を傷める罠を狩りに使うのは厳禁なんだよ。			いけない罠							
トラバサミを使った狩りをするのは、無法者の連中だ。あいつらには、掟も何も通用しねぇんだ。			トラバサミを使った狩りをするのは、無法者の連中だ。あいつらには、掟も何も通用しねぇんだ。			いけない罠							
さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			いけない罠							
さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			さあ、トラバサミはこの辺に3つあるぜ。無法者が現れるかもしれないから、注意するこったな。			いけない罠							
勝手に撤去をするな！			勝手に撤去をするな！			いけない罠							
お、撤去できましたか！いやぁ～、よかったよかった！			お、撤去できましたか！いやぁ～、よかったよかった！			いけない罠							
……えっ、無法者の連中に襲われたんっすか！？そんな危険な仕事、俺にやらせようとするなんて……ひっでぇ先輩だなぁ、マジで……。			……えっ、無法者の連中に襲われたんっすか！？そんな危険な仕事、俺にやらせようとするなんて……ひっでぇ先輩だなぁ、マジで……。			いけない罠							
普通の先輩は、かわいい後輩に、そんな危険なことさせないっすよねぇ！？あ、お礼をどうぞ……どうも、ありがとうでした！			普通の先輩は、かわいい後輩に、そんな危険なことさせないっすよねぇ！？あ、お礼をどうぞ……どうも、ありがとうでした！			いけない罠							
ヴァスの塚のストーリーテラーは、困っているようだ。			ヴァスの塚のストーリーテラーは、困っているようだ。			独特な煙							
ストーリーテラーから、銀露草を集めてくるように頼まれた。高地ドラヴァニアのスモーキングウェイストで、「銀露草」を3つ入手しよう。			ストーリーテラーから、銀露草を集めてくるように頼まれた。高地ドラヴァニアのスモーキングウェイストで、「銀露草」を3つ入手しよう。			独特な煙							
