聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
永遠の乙女亭でローズウェンから話を聞いたが、彼女は取引を行う気はないようだ。最後の望みを託して薬舗セブンスセージに向かい、「シャルルマン・ド・デュランデル伯爵」と再度話そう。			永遠の乙女亭でローズウェンから話を聞いたが、彼女は取引を行う気はないようだ。最後の望みを託して薬舗セブンスセージに向かい、「シャルルマン・ド・デュランデル伯爵」と再度話そう。			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵たちと薬舗セブンスセージの受付に交易を持ちかけたが、煮え切らない返事だった。しかし、冒険者だけなら話を聞いてくれるそうなので、薬舗セブンスセージの裏にいる「カルヴァラン」と話そう。			シャルルマン・ド・デュランデル伯爵たちと薬舗セブンスセージの受付に交易を持ちかけたが、煮え切らない返事だった。しかし、冒険者だけなら話を聞いてくれるそうなので、薬舗セブンスセージの裏にいる「カルヴァラン」と話そう。			海都への交易交渉							
カルヴァランと話し、取引に対する真意を聞いた。取引を承諾してくれたので、薬舗セブンスセージの前で待っている「シャルルマン・ド・デュランデル伯爵」に「サイン済みの契約書」を渡そう。			カルヴァランと話し、取引に対する真意を聞いた。取引を承諾してくれたので、薬舗セブンスセージの前で待っている「シャルルマン・ド・デュランデル伯爵」に「サイン済みの契約書」を渡そう。			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵にサイン済みの契約書を渡した。無事に契約が取れて、デュランデル伯爵とフランセルは大喜びだ。			シャルルマン・ド・デュランデル伯爵にサイン済みの契約書を渡した。無事に契約が取れて、デュランデル伯爵とフランセルは大喜びだ。			海都への交易交渉							
ブルワークホールのシャルルマン・ド・デュランデル伯爵と話す			ブルワークホールのシャルルマン・ド・デュランデル伯爵と話す			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵と話す			シャルルマン・ド・デュランデル伯爵と話す			海都への交易交渉							
永遠の乙女亭前のシャルルマン・ド・デュランデル伯爵と話す			永遠の乙女亭前のシャルルマン・ド・デュランデル伯爵と話す			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵と再度話す			シャルルマン・ド・デュランデル伯爵と再度話す			海都への交易交渉							
カルヴァランと話す			カルヴァランと話す			海都への交易交渉							
シャルルマン・ド・デュランデル伯爵にサイン済みの契約書を渡す			シャルルマン・ド・デュランデル伯爵にサイン済みの契約書を渡す			海都への交易交渉							
