流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
…………クレム助祭の様子は？			…………クレム助祭の様子は？			あるのは正義と復讐のみ							
聖レマノー大聖堂の寄宿舎で休んでもらっています。憔悴している様子でしたが、此度のことを周知せねばと、早くも動き出そうとしている様子でした。			聖レマノー大聖堂の寄宿舎で休んでもらっています。憔悴している様子でしたが、此度のことを周知せねばと、早くも動き出そうとしている様子でした。			あるのは正義と復讐のみ							
彼は当事者である聖職者であり、相次いで同胞の獣化を間近で見ながら……それでも目に光を失わぬ気骨があるように思われますな。			彼は当事者である聖職者であり、相次いで同胞の獣化を間近で見ながら……それでも目に光を失わぬ気骨があるように思われますな。			あるのは正義と復讐のみ							
ああ、芯の強い青年だ。それにしても……			ああ、芯の強い青年だ。それにしても……			あるのは正義と復讐のみ							
現在のイシュガルド正教における、事実上の最高権力者たちである「聖徒評議会」。まさかそこからも、獣に転じる者が現れてしまうとはな。			現在のイシュガルド正教における、事実上の最高権力者たちである「聖徒評議会」。まさかそこからも、獣に転じる者が現れてしまうとはな。			あるのは正義と復讐のみ							
それだけ、いまのイシュガルド正教が抱える闇は、大きいということだろう。			それだけ、いまのイシュガルド正教が抱える闇は、大きいということだろう。			あるのは正義と復讐のみ							
政教の分離を早急に進めた影響か……。			政教の分離を早急に進めた影響か……。			あるのは正義と復讐のみ							
Forename殿。貴殿が過去視で何を視たのか、詳しく教えてくれないか。			Forename殿。貴殿が過去視で何を視たのか、詳しく教えてくれないか。			あるのは正義と復讐のみ							
蛮神ナイツ・オブ・ラウンドを再召喚するために、古代アラグ文明のクローンを依代に使うなど……！			蛮神ナイツ・オブ・ラウンドを再召喚するために、古代アラグ文明のクローンを依代に使うなど……！			あるのは正義と復讐のみ							
だが、貴殿が見たそれは、かつての戦った蛮神とは異なり、人の姿を保ったままで、教皇を守らんと口にした……。クローンが人格を得たということか？			だが、貴殿が見たそれは、かつての戦った蛮神とは異なり、人の姿を保ったままで、教皇を守らんと口にした……。クローンが人格を得たということか？			あるのは正義と復讐のみ							
おそらく、エーテル不足により召喚が失敗したのだろうな。主教たちは聖剣アスカロンを触媒にしたという話だが、あれが有していた竜の眼は、もはや失われている。			おそらく、エーテル不足により召喚が失敗したのだろうな。主教たちは聖剣アスカロンを触媒にしたという話だが、あれが有していた竜の眼は、もはや失われている。			あるのは正義と復讐のみ							
それに加えて、かつてトールダン7世が利用せんとしていた、三闘神についても、すでに君が対処してくれていた。この点が幸いしたと言えそうだな。			それに加えて、かつてトールダン7世が利用せんとしていた、三闘神についても、すでに君が対処してくれていた。この点が幸いしたと言えそうだな。			あるのは正義と復讐のみ							
