潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
ブジェグさんからのお使いかい？「奉納用の供物」なら用意できてるよ。量が多くて重たいから、気をつけてな。			ブジェグさんからのお使いかい？「奉納用の供物」なら用意できてるよ。量が多くて重たいから、気をつけてな。			新たな季節へ							
待っておりましたぞ。「モル族の剣」と「清めの水」、「奉納用の供物」は、用意できましたかな？			待っておりましたぞ。「モル族の剣」と「清めの水」、「奉納用の供物」は、用意できましたかな？			新たな季節へ							
確かに、受け取りました……。そういえば、あなたは異国から来たそうですが、功労者が供物を奉納することの意味はご存知ですか？			確かに、受け取りました……。そういえば、あなたは異国から来たそうですが、功労者が供物を奉納することの意味はご存知ですか？			新たな季節へ							
この儀礼は、剣を置き、次の季節までの安寧を祈りつつ、合戦で失われた命に安らぎあれと、供養するものなのです。どうかあなたも、祈りを捧げてあげてください……。			この儀礼は、剣を置き、次の季節までの安寧を祈りつつ、合戦で失われた命に安らぎあれと、供養するものなのです。どうかあなたも、祈りを捧げてあげてください……。			新たな季節へ							
その祈りに感謝を……そして、あなたの旅路に祝福を……。これで儀礼は無事に終わりました。モル・イローの「ブジェグ」へ、そのことを伝えてあげてください。			その祈りに感謝を……そして、あなたの旅路に祝福を……。これで儀礼は無事に終わりました。モル・イローの「ブジェグ」へ、そのことを伝えてあげてください。			新たな季節へ							
そうか、儀礼を終えてくれたか。お前のおかげで、合戦は本当の意味で終わりを告げた。			そうか、儀礼を終えてくれたか。お前のおかげで、合戦は本当の意味で終わりを告げた。			新たな季節へ							
礼を言うぞ、我ら、モル族の英雄よ。これで我らも悔いなく、新しい季節へと歩みだすことができる。お前の旅路に、よき風が吹くよう祈っているぞ。			礼を言うぞ、我ら、モル族の英雄よ。これで我らも悔いなく、新しい季節へと歩みだすことができる。お前の旅路に、よき風が吹くよう祈っているぞ。			新たな季節へ							
モル・イローの優しそうなモル族の男は、神託の代行者を探しているようだ。			モル・イローの優しそうなモル族の男は、神託の代行者を探しているようだ。			職人の炎							
指定地点で見渡し、敵が現れたら討伐			指定地点で見渡し、敵が現れたら討伐			職人の炎							
優しそうなモル族の男に報告			優しそうなモル族の男に報告			職人の炎							
あっ、キミは、戦い慣れた戦士みたいだね。申し訳ないけれど、ひとつ、お手伝いを頼めるかな？			あっ、キミは、戦い慣れた戦士みたいだね。申し訳ないけれど、ひとつ、お手伝いを頼めるかな？			職人の炎							
僕の神託の代行者として、暮れの玉座にいる魔物を倒してほしいんだ。			僕の神託の代行者として、暮れの玉座にいる魔物を倒してほしいんだ。			職人の炎							
神託で、魔物を倒すよう命じられたんだけど、僕はただの骨細工職人で、戦うことに慣れていないんだ。どうしてこんな神託を与えられたのかも、わからなくて……。			神託で、魔物を倒すよう命じられたんだけど、僕はただの骨細工職人で、戦うことに慣れていないんだ。どうしてこんな神託を与えられたのかも、わからなくて……。			職人の炎							
あぁ、代行することには問題ないよ。神託では、自分で倒すように、とは言われてないからさ！			あぁ、代行することには問題ないよ。神託では、自分で倒すように、とは言われてないからさ！			職人の炎							
