シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
エレンヴィルと話し、ロネークが貸し出し可能になるまで時間を潰すことにした。フーサタイ宿場町前の「エレンヴィル」と再度話そう。			エレンヴィルと話し、ロネークが貸し出し可能になるまで時間を潰すことにした。フーサタイ宿場町前の「エレンヴィル」と再度話そう。			サカ・トラルへ							
エレンヴィルとフーサタイ宿場町前のいざこざを目撃し、エスティニアンと再会した。フーサタイ宿場町の「エレンヴィル」とさらに話そう。			エレンヴィルとフーサタイ宿場町前のいざこざを目撃し、エスティニアンと再会した。フーサタイ宿場町の「エレンヴィル」とさらに話そう。			サカ・トラルへ							
エレンヴィルからシャーローニ荒野の説明を聞いた。荒くれ者の多い地で、何事もなく目的地に辿り着けるのだろうか……。			エレンヴィルからシャーローニ荒野の説明を聞いた。荒くれ者の多い地で、何事もなく目的地に辿り着けるのだろうか……。			サカ・トラルへ							
勇連隊の門番と話す			勇連隊の門番と話す			サカ・トラルへ							
トライヨラ関門付近のエレンヴィルと話す			トライヨラ関門付近のエレンヴィルと話す			サカ・トラルへ							
エレンヴィルと再度話す			エレンヴィルと再度話す			サカ・トラルへ							
エレンヴィルとさらに話す			エレンヴィルとさらに話す			サカ・トラルへ							
もう準備はいいのか？			もう準備はいいのか？			サカ・トラルへ							
なら、そこの「勇連隊の門番」に、おたくの通行許可証を見せてきてくれ。			なら、そこの「勇連隊の門番」に、おたくの通行許可証を見せてきてくれ。			サカ・トラルへ							
サカ・トラルへと続くゾーゴー永結橋は長大だ。なかなか見ものだと思うぞ。			サカ・トラルへと続くゾーゴー永結橋は長大だ。なかなか見ものだと思うぞ。			サカ・トラルへ							
そこの「勇連隊の門番」に、通行許可証を見せてきてくれ。そしたら、いよいよ出発だ。			そこの「勇連隊の門番」に、通行許可証を見せてきてくれ。そしたら、いよいよ出発だ。			サカ・トラルへ							
おや、永結橋を渡りたいので？それでしたら通行許可証を……			おや、永結橋を渡りたいので？それでしたら通行許可証を……			サカ・トラルへ							
これは……新武王様の署名入り許可証とは驚きました。ただいま門を開きますので、少々お待ちください！			これは……新武王様の署名入り許可証とは驚きました。ただいま門を開きますので、少々お待ちください！			サカ・トラルへ							
おっと、ふたりか……。			おっと、ふたりか……。			サカ・トラルへ							
なんだって……？借りられるロネークがいないのか？			なんだって……？借りられるロネークがいないのか？			サカ・トラルへ							
ああ、ちっとばかしタイミングが悪かったな。1頭だけならすぐ出せるんだが……			ああ、ちっとばかしタイミングが悪かったな。1頭だけならすぐ出せるんだが……			サカ・トラルへ							
