空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
爆弾列車で敵の基地に風穴を開けることに成功した。このままドーム内へ侵入するため、「外征前哨 ヴァンガード」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			爆弾列車で敵の基地に風穴を開けることに成功した。このままドーム内へ侵入するため、「外征前哨 ヴァンガード」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ドーンブレイザー							
敵の基地を通過することに成功した。状況を確認しよう。			敵の基地を通過することに成功した。状況を確認しよう。			ドーンブレイザー							
ドーム内に侵入した。ヘリテージファウンドのヴァンガード付近にいる「ウクラマト」と話そう。			ドーム内に侵入した。ヘリテージファウンドのヴァンガード付近にいる「ウクラマト」と話そう。			ドーンブレイザー							
ヤースラニ荒野の変貌ぶりに一行は困惑した。この場所で何が起こったのか、慎重に確認していこう……。			ヤースラニ荒野の変貌ぶりに一行は困惑した。この場所で何が起こったのか、慎重に確認していこう……。			ドーンブレイザー							
指定地点で待機			指定地点で待機			ドーンブレイザー							
「外征前哨 ヴァンガード」を攻略			「外征前哨 ヴァンガード」を攻略			ドーンブレイザー							
ヴァンガード付近のウクラマトと話す			ヴァンガード付近のウクラマトと話す			ドーンブレイザー							
さーて、俺たちはこれから寝ずの作業に入る！すまんが、完成までもうちっとだけ待っててくれ。			さーて、俺たちはこれから寝ずの作業に入る！すまんが、完成までもうちっとだけ待っててくれ。			ドーンブレイザー							
お前さんも休憩がてら、戦闘の備えだけは万全にな。改造が終わったら、すぐに出発することになるぜ！			お前さんも休憩がてら、戦闘の備えだけは万全にな。改造が終わったら、すぐに出発することになるぜ！			ドーンブレイザー							
爆弾列車の改造が終わるまで待ちますか？			爆弾列車の改造が終わるまで待ちますか？			ドーンブレイザー							
どうする？			どうする？			ドーンブレイザー							
話す			話す			ドーンブレイザー							
パーティを編成して突入			パーティを編成して突入			ドーンブレイザー							
キャンセル			キャンセル			ドーンブレイザー							
よっしゃ、派手に暴れてやるぜ！ゾラージャの目を引き付けて、トライヨラを護るんだ！			よっしゃ、派手に暴れてやるぜ！ゾラージャの目を引き付けて、トライヨラを護るんだ！			ドーンブレイザー							
ふう……こんな前線で、敵地に乗り込む役目なんて初めて。でも、怖気づいたりしない……戦い抜いてみせるわ！			ふう……こんな前線で、敵地に乗り込む役目なんて初めて。でも、怖気づいたりしない……戦い抜いてみせるわ！			ドーンブレイザー							
