潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
いやはや、何とも貴族らしい貴族とでもいいますか……。しかし最近では、ああした方はずいぶんと減りましたよ。英雄殿や、ヒルダ殿の活躍があったおかげでしょう。			いやはや、何とも貴族らしい貴族とでもいいますか……。しかし最近では、ああした方はずいぶんと減りましたよ。英雄殿や、ヒルダ殿の活躍があったおかげでしょう。			銃と宝剣							
そういうもんかねえ……。ともかく、銃弾はありがとよ。助かった。			そういうもんかねえ……。ともかく、銃弾はありがとよ。助かった。			銃と宝剣							
しかし、あの女貴族にはイラついたが、気になることを言っていたな。「銃使いの野盗」に「ヘムロック周辺で響く銃声」か……。			しかし、あの女貴族にはイラついたが、気になることを言っていたな。「銃使いの野盗」に「ヘムロック周辺で響く銃声」か……。			銃と宝剣							
そこにきて、銃を使った宝物庫襲撃とは、偶然にしては、出来すぎってもんさね……。よし、ここはふた手に別れよう。			そこにきて、銃を使った宝物庫襲撃とは、偶然にしては、出来すぎってもんさね……。よし、ここはふた手に別れよう。			銃と宝剣							
アンタは、「潰れた銃弾」の線を追ってくれ。スカイスチール機工房の「ステファニヴィアン」に見せれば、気づいたことを教えてくれるだろうさ。			アンタは、「潰れた銃弾」の線を追ってくれ。スカイスチール機工房の「ステファニヴィアン」に見せれば、気づいたことを教えてくれるだろうさ。			銃と宝剣							
アタシは、ヘムロックに行って野盗の話を追ってみる。銃弾を調べ終わったら、コッチに合流してくれ。……こういう調査は自信がなくてね、頼んだよ。			アタシは、ヘムロックに行って野盗の話を追ってみる。銃弾を調べ終わったら、コッチに合流してくれ。……こういう調査は自信がなくてね、頼んだよ。			銃と宝剣							
「潰れた銃弾」の調査は、任せたよ。終わったらヘムロックの調査に、合流してくれ。			「潰れた銃弾」の調査は、任せたよ。終わったらヘムロックの調査に、合流してくれ。			銃と宝剣							
よう、Forename。銃士隊の調子はどうだい？……え、調べてほしいものがあるだって？			よう、Forename。銃士隊の調子はどうだい？……え、調べてほしいものがあるだって？			銃と宝剣							
コイツは……ああ、銃弾で間違いない。だけど、潰れてるせいで、それ以上は俺の計測器でもわからないな。			コイツは……ああ、銃弾で間違いない。だけど、潰れてるせいで、それ以上は俺の計測器でもわからないな。			銃と宝剣							
材質は、ウチで作る銃弾と同じみたいだけど、リムサ・ロミンサ製の銃弾も、ほとんど同じ仕様だし……。君の力にはなれなさそうだ、すまない。			材質は、ウチで作る銃弾と同じみたいだけど、リムサ・ロミンサ製の銃弾も、ほとんど同じ仕様だし……。君の力にはなれなさそうだ、すまない。			銃と宝剣							
え、銃弾の調査はもう終わったのかい！？それなら、報告は後で聞くよ。先に「ヘムロック」の調査を済ませちまおう。			え、銃弾の調査はもう終わったのかい！？それなら、報告は後で聞くよ。先に「ヘムロック」の調査を済ませちまおう。			銃と宝剣							
この銃弾から、何かを断定するのは難しいね。だけど……うーん、俺の計測器に引っかかる……。			この銃弾から、何かを断定するのは難しいね。だけど……うーん、俺の計測器に引っかかる……。			銃と宝剣							
助かった、ありがとよ。調査してたら、いきなり襲われてね。何匹かは返り討ちにしたんだが……え、首輪をつけてた？			助かった、ありがとよ。調査してたら、いきなり襲われてね。何匹かは返り討ちにしたんだが……え、首輪をつけてた？			銃と宝剣							
……ありふれた革製の首輪だね。こいつら、野犬の類いじゃなくて、人に飼われた番犬ってことか。			……ありふれた革製の首輪だね。こいつら、野犬の類いじゃなくて、人に飼われた番犬ってことか。			銃と宝剣							
実は、このあたりに人がいた痕跡を見つけたんだ。あの女貴族が言っていた、野盗の話はアタリかもしれない。……ひとまず、雲霧街に戻ろう。			実は、このあたりに人がいた痕跡を見つけたんだ。あの女貴族が言っていた、野盗の話はアタリかもしれない。……ひとまず、雲霧街に戻ろう。			銃と宝剣							
