赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
どうせ、船の灯りか漁り火を見て勘違いしただけだろうが、海で死んだ死者の霊だ何だと怖がる者もいて、困っておるのだ。俺には防人として台場を護る使命がある故、持ち場を離れられん。			どうせ、船の灯りか漁り火を見て勘違いしただけだろうが、海で死んだ死者の霊だ何だと怖がる者もいて、困っておるのだ。俺には防人として台場を護る使命がある故、持ち場を離れられん。			不気味な鬼火							
そこで貴様の出番だ。噂では、ここから北西のあたりで鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			そこで貴様の出番だ。噂では、ここから北西のあたりで鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			不気味な鬼火							
噂では、ここから北西のほうで、鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			噂では、ここから北西のほうで、鬼火を見た者がいるらしい……。もしも、本当にいた場合は、討伐しておくように！			不気味な鬼火							
このあたりでは、鬼火が見あたらないようだ。			このあたりでは、鬼火が見あたらないようだ。			不気味な鬼火							
……なに、不気味な鬼火の正体は、ちっぽけな焔の精だったと？			……なに、不気味な鬼火の正体は、ちっぽけな焔の精だったと？			不気味な鬼火							
ハッハッハ！　そんなことだろうと思っておったわ。海の魔物など、何するものぞ！			ハッハッハ！　そんなことだろうと思っておったわ。海の魔物など、何するものぞ！			不気味な鬼火							
報酬？　まったく、使命を持たぬものはこれだからな。だが俺は今、すこぶる機嫌がよい。とっておくがよいわ！　ハーッハッハッハ！			報酬？　まったく、使命を持たぬものはこれだからな。だが俺は今、すこぶる機嫌がよい。とっておくがよいわ！　ハーッハッハッハ！			不気味な鬼火							
紅玉台場のクモヂは、困り果てているようだ。			紅玉台場のクモヂは、困り果てているようだ。			クガネの防衛線							
鉄砲鍛冶の油壺を入手			鉄砲鍛冶の油壺を入手			クガネの防衛線							
クモヂに鉄砲鍛冶の油壺を渡す			クモヂに鉄砲鍛冶の油壺を渡す			クガネの防衛線							
お前さん、ちょっと今暇かい？それならひとつ、頼まれてくれないか。			お前さん、ちょっと今暇かい？それならひとつ、頼まれてくれないか。			クガネの防衛線							
オレはこの大筒の整備のためにクガネから呼ばれて来たんだ。だが道中、さんざん船に揺られるうちに気持ち悪くなって、大事な商売道具を海にぶちまけちまって……。			オレはこの大筒の整備のためにクガネから呼ばれて来たんだ。だが道中、さんざん船に揺られるうちに気持ち悪くなって、大事な商売道具を海にぶちまけちまって……。			クガネの防衛線							
恥ずかしい話だが、泳ぐのは苦手でな、代わりに取ってきてほしいんだ。			恥ずかしい話だが、泳ぐのは苦手でな、代わりに取ってきてほしいんだ。			クガネの防衛線							
「鉄砲鍛冶の油壺」は西の方に流されていったよ。あの辺りの海流を考えると、サカズキ島の東の浜あたりに、流れついているかもしれない。			「鉄砲鍛冶の油壺」は西の方に流されていったよ。あの辺りの海流を考えると、サカズキ島の東の浜あたりに、流れついているかもしれない。			クガネの防衛線							
