アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
Forename、ふたりの声が聞こえたのは川の方からです！急いで向かいましょう！			Forename、ふたりの声が聞こえたのは川の方からです！急いで向かいましょう！			拳聖、再び							
僕の技が……通じない……！？			僕の技が……通じない……！？			拳聖、再び							
(-仮面の男-)ククク…………。			(-仮面の男-)ククク…………。			拳聖、再び							
(-仮面の男-)同胞たちは星導教の技をすべて知り尽くしていたはずだが……どうやら、そこの冒険者は少しやるようだ。			(-仮面の男-)同胞たちは星導教の技をすべて知り尽くしていたはずだが……どうやら、そこの冒険者は少しやるようだ。			拳聖、再び							
き、貴様は……アラミゴ解放軍の……鉄仮面……無謀な作戦を導き、死んだはずでは……。			き、貴様は……アラミゴ解放軍の……鉄仮面……無謀な作戦を導き、死んだはずでは……。			拳聖、再び							
(-仮面の男-)フン、あれは我が影武者のひとりが、暴走しただけのこと。そして明かそう、我が真の名が「テオバルド」であると！余こそ先王テオドリックの嫡男にして、次期アラミゴ国王である！			(-仮面の男-)フン、あれは我が影武者のひとりが、暴走しただけのこと。そして明かそう、我が真の名が「テオバルド」であると！余こそ先王テオドリックの嫡男にして、次期アラミゴ国王である！			拳聖、再び							
次期国王……廃王テオドリックの嫡男だと？			次期国王……廃王テオドリックの嫡男だと？			拳聖、再び							
星導教の復興などという世迷い言で、民を惑わす輩がいると聞き、今日は忠告に来た。王に臣従を誓え、さもなくば二度目の滅びを迎えることになるぞ！			星導教の復興などという世迷い言で、民を惑わす輩がいると聞き、今日は忠告に来た。王に臣従を誓え、さもなくば二度目の滅びを迎えることになるぞ！			拳聖、再び							
馬鹿な、廃王テオドリックの血筋は、すべて途絶えたはず！仮に貴様が本物の王族だとしても、誰が暴君の再臨を望むものか！王こそが、民から希望を奪ったのだぞ！			馬鹿な、廃王テオドリックの血筋は、すべて途絶えたはず！仮に貴様が本物の王族だとしても、誰が暴君の再臨を望むものか！王こそが、民から希望を奪ったのだぞ！			拳聖、再び							
これは異な事を申す……。ウィダルゲルト……いや、我が従兄弟テオドレッドよ。貴様も、その王の血を引く、王族ではないか……！			これは異な事を申す……。ウィダルゲルト……いや、我が従兄弟テオドレッドよ。貴様も、その王の血を引く、王族ではないか……！			拳聖、再び							
な……！？			な……！？			拳聖、再び							
ハッハッハッ、知らずにいたとは傑作だ！では、貴様の両親が、どのような末路を辿ったのかも知るまいな？貴様の父と母は、王家を裏切り、我が父に粛清されたのだよ！			ハッハッハッ、知らずにいたとは傑作だ！では、貴様の両親が、どのような末路を辿ったのかも知るまいな？貴様の父と母は、王家を裏切り、我が父に粛清されたのだよ！			拳聖、再び							
姑息で愚鈍な反逆者ではあったが、身の危険には敏感なようでな。粛清の直前、赤子だった貴様を星導教の山寺に逃がしたようだが……その薄汚い寺も、我が父に焼かれたのだったな？			姑息で愚鈍な反逆者ではあったが、身の危険には敏感なようでな。粛清の直前、赤子だった貴様を星導教の山寺に逃がしたようだが……その薄汚い寺も、我が父に焼かれたのだったな？			拳聖、再び							
