リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
やはり、ここにいたか偽神獣……！			やはり、ここにいたか偽神獣……！			母なる女王							
まさか、超える力が……！？まずいな……。			まさか、超える力が……！？まずいな……。			母なる女王							
野郎ども！団長代行に指一本触れさせるんじゃねえぞ！			野郎ども！団長代行に指一本触れさせるんじゃねえぞ！			母なる女王							
フスィーッ……我らが女王「蒼茫の母」よ、ご報告いたします。ヒレナシどもは、不可思議な術を使って、水神様の祝福を受けた者を、たぶらかして回っているようです。			フスィーッ……我らが女王「蒼茫の母」よ、ご報告いたします。ヒレナシどもは、不可思議な術を使って、水神様の祝福を受けた者を、たぶらかして回っているようです。			母なる女王							
それにより、一族の中から、水神様を偽りの神と愚弄し、ヒレナシどもに近づく融和派なる者が現れる始末……。			それにより、一族の中から、水神様を偽りの神と愚弄し、ヒレナシどもに近づく融和派なる者が現れる始末……。			母なる女王							
急ぎ水神様を降ろし、ふたたび祝福を賜る必要がございますが、海底のクリスタル鉱脈は底をつき始め……再召喚の目処は立っておりませぬ。			急ぎ水神様を降ろし、ふたたび祝福を賜る必要がございますが、海底のクリスタル鉱脈は底をつき始め……再召喚の目処は立っておりませぬ。			母なる女王							
じきにわらわは産卵期を迎えるというのに……一族が分裂した状態では、おちおち産卵地に入ることもできぬ！ああ、どうすればよいのじゃ……！			じきにわらわは産卵期を迎えるというのに……一族が分裂した状態では、おちおち産卵地に入ることもできぬ！ああ、どうすればよいのじゃ……！			母なる女王							
何者だ……！？貴様らの謁見を許した覚えはないぞ！			何者だ……！？貴様らの謁見を許した覚えはないぞ！			母なる女王							
(-融和派のサハギン族-)フスィーッ……申し上げます、蒼茫の母よ。我々は、サハギン族とヒトの融和を目指す者です。			(-融和派のサハギン族-)フスィーッ……申し上げます、蒼茫の母よ。我々は、サハギン族とヒトの融和を目指す者です。			母なる女王							
(-融和派のサハギン族-)偽りの神を降ろしてまで、産卵地のために戦う時代は終わりました。			(-融和派のサハギン族-)偽りの神を降ろしてまで、産卵地のために戦う時代は終わりました。			母なる女王							
(-融和派のサハギン族-)ヒトと和平を結び、互いの領地を分け合うことで、産卵地の安全を確保することができるのです。			(-融和派のサハギン族-)ヒトと和平を結び、互いの領地を分け合うことで、産卵地の安全を確保することができるのです。			母なる女王							
それはまことか……？			それはまことか……？			母なる女王							
騙されてはなりませんぞ、蒼茫の母よ！こやつらは信仰を捨て、ヒレナシどもに寝返った逆賊にござります！			騙されてはなりませんぞ、蒼茫の母よ！こやつらは信仰を捨て、ヒレナシどもに寝返った逆賊にござります！			母なる女王							
土地を明け渡すつもりがあるなら、なぜこれまで争ってきたのです？和睦を結ぼうものなら必ずや裏切られるに決まっております！やがて産卵地もろとも、皆殺しにされるのは必定ッ！			土地を明け渡すつもりがあるなら、なぜこれまで争ってきたのです？和睦を結ぼうものなら必ずや裏切られるに決まっております！やがて産卵地もろとも、皆殺しにされるのは必定ッ！			母なる女王							
おお、なんと無慈悲な……やはりヒレナシどもは、一族にとっての仇敵よな……。			おお、なんと無慈悲な……やはりヒレナシどもは、一族にとっての仇敵よな……。			母なる女王							
かような脅威を前に、愛する我が子らの中に水神様を忘れ、裏切りを働く者どもが現れようとは……。もはや、何も信じられぬ……			かような脅威を前に、愛する我が子らの中に水神様を忘れ、裏切りを働く者どもが現れようとは……。もはや、何も信じられぬ……			母なる女王							
こうなっては、我らに未来はありません。産卵を諦め、海の底で朽ちていくしか……。			こうなっては、我らに未来はありません。産卵を諦め、海の底で朽ちていくしか……。			母なる女王							
