クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
ひぃ、ひぃ、ひぃ、ひぃ……。……ひぃぃ……ひぃぃ……。			ひぃ、ひぃ、ひぃ、ひぃ……。……ひぃぃ……ひぃぃ……。			カストルム・セントリからの救出							
バッカやろう！あれ置いて、逃げ出してきたのか！			バッカやろう！あれ置いて、逃げ出してきたのか！			カストルム・セントリからの救出							
そ、そんなこと言ったって！取り付かれたら勝てるわけないッス！			そ、そんなこと言ったって！取り付かれたら勝てるわけないッス！			カストルム・セントリからの救出							
なんだとっ！！			なんだとっ！！			カストルム・セントリからの救出							
うわッ！？			うわッ！？			カストルム・セントリからの救出							
俺だ……シドだ……。聞こえ……るか……！？			俺だ……シドだ……。聞こえ……るか……！？			カストルム・セントリからの救出							
5つ数えたら……そこから……飛び降りろ！いいな！			5つ数えたら……そこから……飛び降りろ！いいな！			カストルム・セントリからの救出							
5……。			5……。			カストルム・セントリからの救出							
4っ！			4っ！			カストルム・セントリからの救出							
3！			3！			カストルム・セントリからの救出							
2ッ！			2ッ！			カストルム・セントリからの救出							
エオルゼアの為政者たちが吠えた演説……。力の伴わぬ、空虚な言葉の数々……。			エオルゼアの為政者たちが吠えた演説……。力の伴わぬ、空虚な言葉の数々……。			カストルム・セントリからの救出							
茶番を演じる弱き為政者と、それに喝采を送る愚かな民……まさに滑稽なり。			茶番を演じる弱き為政者と、それに喝采を送る愚かな民……まさに滑稽なり。			カストルム・セントリからの救出							
解るか「暁」よ……。必要なのは力。民を守り、導き、この地を救う真なる力だ！			解るか「暁」よ……。必要なのは力。民を守り、導き、この地を救う真なる力だ！			カストルム・セントリからの救出							
蛮神を征すこの力こそ、エオルゼアを救う王者の剣よ。それを覚えておくのだな。			蛮神を征すこの力こそ、エオルゼアを救う王者の剣よ。それを覚えておくのだな。			カストルム・セントリからの救出							
なにッ！？			なにッ！？			カストルム・セントリからの救出							
今のは……！			今のは……！			カストルム・セントリからの救出							
