朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
ありがとよ、フォンジャンテーン。お前の想い、絶対に応えてみせるぜ。			ありがとよ、フォンジャンテーン。お前の想い、絶対に応えてみせるぜ。			望んだ平和の形							
ではでは　モブたち　壺の試練！超えたあなたに　秘石を進呈！			ではでは　モブたち　壺の試練！超えたあなたに　秘石を進呈！			望んだ平和の形							
よし、これで3つ目だ……！			よし、これで3つ目だ……！			望んだ平和の形							
フゴォ……フゴォ……ほかにも来たの　壺匠！？みんなまとめて　お話聞かせて！			フゴォ……フゴォ……ほかにも来たの　壺匠！？みんなまとめて　お話聞かせて！			望んだ平和の形							
ハヌハヌ族とペルペル族に続いて、モブリン族の秘石も手に入りました。今のところは順調ですね。			ハヌハヌ族とペルペル族に続いて、モブリン族の秘石も手に入りました。今のところは順調ですね。			望んだ平和の形							
ホッホッホ。さすがはゾラージャ様のご弟妹。よく食らいついておられる。			ホッホッホ。さすがはゾラージャ様のご弟妹。よく食らいついておられる。			望んだ平和の形							
とくに弟君の賢さときたら！海向こうにて学んできた知識を活かし、魔導兵器の導入にご尽力いただきたいものですなぁ。			とくに弟君の賢さときたら！海向こうにて学んできた知識を活かし、魔導兵器の導入にご尽力いただきたいものですなぁ。			望んだ平和の形							
ゾラージャ王の、重臣として……。			ゾラージャ王の、重臣として……。			望んだ平和の形							
僕は戦争には興味がありません。シャーレアンで学んだ技術で、この国を発展させたいだけです。			僕は戦争には興味がありません。シャーレアンで学んだ技術で、この国を発展させたいだけです。			望んだ平和の形							
トライヨラが技術的に優れた国だと知れ渡れば、外つ国から一目置かれるようになるでしょう。			トライヨラが技術的に優れた国だと知れ渡れば、外つ国から一目置かれるようになるでしょう。			望んだ平和の形							
そうすれば、わざわざ戦うこともなくなる……シャーレアンがガレマール帝国に侵略されなかったようにね。			そうすれば、わざわざ戦うこともなくなる……シャーレアンがガレマール帝国に侵略されなかったようにね。			望んだ平和の形							
そうおっしゃいますがねぇ……我々がシャーレアンのような技術大国になるまで、いったい何年かかるというのです？			そうおっしゃいますがねぇ……我々がシャーレアンのような技術大国になるまで、いったい何年かかるというのです？			望んだ平和の形							
地道に学び続ければ、いずれ……			地道に学び続ければ、いずれ……			望んだ平和の形							
学ぶなどと、回りくどい。			学ぶなどと、回りくどい。			望んだ平和の形							
呑みこんでしまえばいい。シャーレアンごとな。			呑みこんでしまえばいい。シャーレアンごとな。			望んだ平和の形							
武力で他国を征服したとしても、やがては反乱が起こり、負の連鎖が続くだけだ。そんな争いを、俺たちはこの目でいくつも見てきた。			武力で他国を征服したとしても、やがては反乱が起こり、負の連鎖が続くだけだ。そんな争いを、俺たちはこの目でいくつも見てきた。			望んだ平和の形							
