自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
と言っても、敵を知らねば対策も立てようがない。そこで、まずはお前さんの目でソープロシュネーの再生能力を見て、分析してもらいたいのじゃ。			と言っても、敵を知らねば対策も立てようがない。そこで、まずはお前さんの目でソープロシュネーの再生能力を見て、分析してもらいたいのじゃ。			ソープロシュネーの光							
ワシが酒場で集めた情報によれば、最近、ヤツがコルシア島に現れたらしい。			ワシが酒場で集めた情報によれば、最近、ヤツがコルシア島に現れたらしい。			ソープロシュネーの光							
詳細は、地元民に話を聞くのがよかろう。スティルタイドと呼ばれる漁村に「穴あき小舟亭」という、小さな酒場があるでな……そこで合流するぞい！			詳細は、地元民に話を聞くのがよかろう。スティルタイドと呼ばれる漁村に「穴あき小舟亭」という、小さな酒場があるでな……そこで合流するぞい！			ソープロシュネーの光							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			ソープロシュネーの光							
おやおや、誰かと思えば……って、冗談じゃ、冗談……！お前さん、ただならぬ殺気が漏れておるぞい！			おやおや、誰かと思えば……って、冗談じゃ、冗談……！お前さん、ただならぬ殺気が漏れておるぞい！			ソープロシュネーの光							
まだ一言も発しておらんというのに、何を呑んだくれているんだ、このクソッタレ、ヒゲがとっても素敵でナイスラリホーという意思が伝わって……			まだ一言も発しておらんというのに、何を呑んだくれているんだ、このクソッタレ、ヒゲがとっても素敵でナイスラリホーという意思が伝わって……			ソープロシュネーの光							
本当に、お前さんは冗談が通じないの……。とにかく、ワシとてただ呑んだくれておったわけではない！一足先に到着したもんで、果実酒と情報を集めておったのじゃ。			本当に、お前さんは冗談が通じないの……。とにかく、ワシとてただ呑んだくれておったわけではない！一足先に到着したもんで、果実酒と情報を集めておったのじゃ。			ソープロシュネーの光							
漁民たちの話によれば、ブライトクリフ一帯で、近頃、よくはぐれ罪喰いを見かけるそうでな……。			漁民たちの話によれば、ブライトクリフ一帯で、近頃、よくはぐれ罪喰いを見かけるそうでな……。			ソープロシュネーの光							
そやつらを倒しておれば、仲間を治療するため、ソープロシュネーが現れるかもしれん。			そやつらを倒しておれば、仲間を治療するため、ソープロシュネーが現れるかもしれん。			ソープロシュネーの光							
よいか、「ブライトクリフ」一帯で、ふたりで手分けして、はぐれ罪喰いどもを蹴散らすぞい。そして、何体か倒したら合流じゃ、よいな！			よいか、「ブライトクリフ」一帯で、ふたりで手分けして、はぐれ罪喰いどもを蹴散らすぞい。そして、何体か倒したら合流じゃ、よいな！			ソープロシュネーの光							
こちら側は、ワシに任せておけい。お前さんは別の場所で、はぐれ罪喰いを探して、何体か倒したら戻ってくるのじゃ！			こちら側は、ワシに任せておけい。お前さんは別の場所で、はぐれ罪喰いを探して、何体か倒したら戻ってくるのじゃ！			ソープロシュネーの光							
無事に罪喰いを始末してきたようじゃな。見ての通り、ワシも仕留めたぞい。			無事に罪喰いを始末してきたようじゃな。見ての通り、ワシも仕留めたぞい。			ソープロシュネーの光							
ヤツをおびき寄せるエサとしては、これくらいで十分じゃろう。ほれ、向こうにある岩陰にでも隠れて、のんびりソープロシュネーが現れるのを待つかの……。			ヤツをおびき寄せるエサとしては、これくらいで十分じゃろう。ほれ、向こうにある岩陰にでも隠れて、のんびりソープロシュネーが現れるのを待つかの……。			ソープロシュネーの光							
現れよった！あれが、我らドワーフの面汚し……大罪人ラミットが転生せし罪喰い、ソープロシュネーじゃ！			現れよった！あれが、我らドワーフの面汚し……大罪人ラミットが転生せし罪喰い、ソープロシュネーじゃ！			ソープロシュネーの光							
