双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
ところが、これが災いとなりました。誰を口寄せ、何を語ったのかは定かではありませんが、紅玉姫様の逆鱗に触れてしまい、追放を言い渡されたのです。			ところが、これが災いとなりました。誰を口寄せ、何を語ったのかは定かではありませんが、紅玉姫様の逆鱗に触れてしまい、追放を言い渡されたのです。			ユウギリの帰郷							
姫様の過去の過ちを暴くようなことを発言したとか、あるいは嘘が露見したのだとか、噂はいろいろ囁かれましたが……。			姫様の過去の過ちを暴くようなことを発言したとか、あるいは嘘が露見したのだとか、噂はいろいろ囁かれましたが……。			ユウギリの帰郷							
そもそもキセイの口寄せは、当たることもある一方で、事実と異なる発言をすることもあり、その真偽は定かではなかったのです。			そもそもキセイの口寄せは、当たることもある一方で、事実と異なる発言をすることもあり、その真偽は定かではなかったのです。			ユウギリの帰郷							
私自身、彼女の口寄せが本物だったのかどうか……。ただ確かなのは、キセイの口寄せによって救いを感じた者が、少なからずいたのだという事実です。			私自身、彼女の口寄せが本物だったのかどうか……。ただ確かなのは、キセイの口寄せによって救いを感じた者が、少なからずいたのだという事実です。			ユウギリの帰郷							
追放された後のことは、私にはわかりません。これでお望みのことがわかったのなら、よいのですが……。			追放された後のことは、私にはわかりません。これでお望みのことがわかったのなら、よいのですが……。			ユウギリの帰郷							
ところで、そちらの方……以前にお連れしていたお仲間とは違うようですが……？			ところで、そちらの方……以前にお連れしていたお仲間とは違うようですが……？			ユウギリの帰郷							
何と言う？			何と言う？			ユウギリの帰郷							
任務で同行している名もなき忍びです……			任務で同行している名もなき忍びです……			ユウギリの帰郷							
ユウギリです			ユウギリです			ユウギリの帰郷							
そうですか、背格好が娘によく似ています。			そうですか、背格好が娘によく似ています。			ユウギリの帰郷							
ち、違う……！ドマの「隠れ里」より派遣された名もなき忍びだ……！			ち、違う……！ドマの「隠れ里」より派遣された名もなき忍びだ……！			ユウギリの帰郷							
では、名もなき忍びさん。娘のユウギリに会うことがあれば、どうかお伝えください。			では、名もなき忍びさん。娘のユウギリに会うことがあれば、どうかお伝えください。			ユウギリの帰郷							
父母は、ドマ解放を成し遂げたあなたを誇りに思っている。これからも、思うままに生きなさい、と……。			父母は、ドマ解放を成し遂げたあなたを誇りに思っている。これからも、思うままに生きなさい、と……。			ユウギリの帰郷							
必ず……必ず伝えましょう。			必ず……必ず伝えましょう。			ユウギリの帰郷							
ただ、私が知っているユウギリなら、きっとこう言うはずです。どこにいても、あなた方の娘は、父様と母様を想っている、と。どうか、お元気で……。			ただ、私が知っているユウギリなら、きっとこう言うはずです。どこにいても、あなた方の娘は、父様と母様を想っている、と。どうか、お元気で……。			ユウギリの帰郷							
も、目的は果たした。ひとまず、ともに筋違砦まで戻ることにしよう。			も、目的は果たした。ひとまず、ともに筋違砦まで戻ることにしよう。			ユウギリの帰郷							
すまない、とんだ茶番を見せてしまった。			すまない、とんだ茶番を見せてしまった。			ユウギリの帰郷							
だが……それでも両親の元気な姿を見ることができて、よかったとも思う。			だが……それでも両親の元気な姿を見ることができて、よかったとも思う。			ユウギリの帰郷							
ふたりが穏やかに生きていけるよう、私はこれからもドマに仕える者として……いや、東方連合の一員として、平和を護っていきたい。			ふたりが穏やかに生きていけるよう、私はこれからもドマに仕える者として……いや、東方連合の一員として、平和を護っていきたい。			ユウギリの帰郷							
