忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
私もまだまだ若いな……。貴公と我が子らとの戦いを見て、血が激ってしまったようだ。			私もまだまだ若いな……。貴公と我が子らとの戦いを見て、血が激ってしまったようだ。			激った血							
どうか、私と手合せしてもらえぬだろうか。外に出ててくれ、私もあとから行こう……。戦いの合図は、「コーム・クール」に任せるとしようぞ。			どうか、私と手合せしてもらえぬだろうか。外に出ててくれ、私もあとから行こう……。戦いの合図は、「コーム・クール」に任せるとしようぞ。			激った血							
どうか、私と手合せしてもらえぬだろうか。外に出ててくれ、私もあとから行こう……。戦いの合図は、「コーム・クール」に任せるとしようぞ。			どうか、私と手合せしてもらえぬだろうか。外に出ててくれ、私もあとから行こう……。戦いの合図は、「コーム・クール」に任せるとしようぞ。			激った血							
あんな顔の父上を見るのは……はじめてだ。ヒトよ、覚悟するがいい……。……さあ、試合開始だっ！！			あんな顔の父上を見るのは……はじめてだ。ヒトよ、覚悟するがいい……。……さあ、試合開始だっ！！			激った血							
ぬう……さすがだ……。恐れいった。			ぬう……さすがだ……。恐れいった。			激った血							
まさか父上にまで勝つなんて、感心した……。父上は怪我を負って、塔に帰ってしまわれたようだ。私の「滑らかな竜鱗」を届けてくれないかい？			まさか父上にまで勝つなんて、感心した……。父上は怪我を負って、塔に帰ってしまわれたようだ。私の「滑らかな竜鱗」を届けてくれないかい？			激った血							
まさか父上にまで勝つなんて、感心した……。父上はケガを治しに戻ったのだろう。「滑らかな竜鱗」を届けてあげてくれ。			まさか父上にまで勝つなんて、感心した……。父上はケガを治しに戻ったのだろう。「滑らかな竜鱗」を届けてあげてくれ。			激った血							
ぬう……さすがだ……。恐れいった。			ぬう……さすがだ……。恐れいった。			激った血							
おや、これはコーム・クールの竜鱗だな？なるほど、鱗に込めた魔力で、傷を癒やせということらしい。どうやら息子には、心配をかけてしまったようだな。			おや、これはコーム・クールの竜鱗だな？なるほど、鱗に込めた魔力で、傷を癒やせということらしい。どうやら息子には、心配をかけてしまったようだな。			激った血							
しかし、負けたというのに、なんと晴れ晴れとした気分か。私の父も千年の昔、ヒトの騎士と戯れに試合をしたと聞く。……ふふ、今なら父の気持ちもわかるぞ。			しかし、負けたというのに、なんと晴れ晴れとした気分か。私の父も千年の昔、ヒトの騎士と戯れに試合をしたと聞く。……ふふ、今なら父の気持ちもわかるぞ。			激った血							
カル・ミークは、母親からの伝言を知りたいようだ。			カル・ミークは、母親からの伝言を知りたいようだ。			狩るカル							
カル・ミークに食糧を狩るよう伝えたところ、ひとりで南のほうへ行ってしまった。高地ドラヴァニアのウィロームリバーで、「カル・ミーク」を探そう。			カル・ミークに食糧を狩るよう伝えたところ、ひとりで南のほうへ行ってしまった。高地ドラヴァニアのウィロームリバーで、「カル・ミーク」を探そう。			狩るカル							
カル・ミークを見つけた。狩りをするためには、獲物をおびき寄せるエサが必要だという。ウィロームリバーにいる「リバー・ナンカ」を討伐し、「リバー・ナンカの尾肉」を手に入れよう。			カル・ミークを見つけた。狩りをするためには、獲物をおびき寄せるエサが必要だという。ウィロームリバーにいる「リバー・ナンカ」を討伐し、「リバー・ナンカの尾肉」を手に入れよう。			狩るカル							
リバー・ナンカの尾肉を手に入れた。ウィロームリバーの「指定地点」に「リバー・ナンカの尾肉」を置いて、現れた獲物を討伐し、カル・ミークたちの食糧を入手しよう。			リバー・ナンカの尾肉を手に入れた。ウィロームリバーの「指定地点」に「リバー・ナンカの尾肉」を置いて、現れた獲物を討伐し、カル・ミークたちの食糧を入手しよう。			狩るカル							
ジャギルの肉を手に入れた。ウィロームリバーの「カル・ミーク」に報告しよう。			ジャギルの肉を手に入れた。ウィロームリバーの「カル・ミーク」に報告しよう。			狩るカル							
カル・ミークに報告した。ひと足先に、高地ドラヴァニアの不浄の三塔に戻り、「グリンカムビ」に「ジャギルの肉」を渡そう。			カル・ミークに報告した。ひと足先に、高地ドラヴァニアの不浄の三塔に戻り、「グリンカムビ」に「ジャギルの肉」を渡そう。			狩るカル							
グリンカムビにジャギルの肉を渡した。グリンカムビは、子どもが冒険者になついたことを喜び、感謝の気持ちを表すのだった。			グリンカムビにジャギルの肉を渡した。グリンカムビは、子どもが冒険者になついたことを喜び、感謝の気持ちを表すのだった。			狩るカル							
