シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
名前を聞きそびれちゃったんだけど……槍使いの男の人だったよ！			名前を聞きそびれちゃったんだけど……槍使いの男の人だったよ！			荒野に落ちる影							
その人のおかげでここは無事だけど、ヤースラニ荒野のみんなは大丈夫かな……連絡がつかなくてさ。ナミーカさんも無事だといいけど……。			その人のおかげでここは無事だけど、ヤースラニ荒野のみんなは大丈夫かな……連絡がつかなくてさ。ナミーカさんも無事だといいけど……。			荒野に落ちる影							
あなたはたしか、先日手伝ってくださった……！			あなたはたしか、先日手伝ってくださった……！			荒野に落ちる影							
ワーリカ社長たちは状況確認のために出払っていますが、ニトウィケさんは無事だと連絡がありました……！			ワーリカ社長たちは状況確認のために出払っていますが、ニトウィケさんは無事だと連絡がありました……！			荒野に落ちる影							
一番列車がヤースラニ駅に到着した後、こっちに引き返す途中で例のドームが出現したようです。			一番列車がヤースラニ駅に到着した後、こっちに引き返す途中で例のドームが出現したようです。			荒野に落ちる影							
ですので、折り返し便の乗員乗客は無事なのですが、ヤースラニ駅で下車した方々の安否までは……。			ですので、折り返し便の乗員乗客は無事なのですが、ヤースラニ駅で下車した方々の安否までは……。			荒野に落ちる影							
せっかく線路が直ったのに、直後にこんなことが起こって、本当に大混乱ですよ……。			せっかく線路が直ったのに、直後にこんなことが起こって、本当に大混乱ですよ……。			荒野に落ちる影							
機械仕掛けの兵士が倒れているが、動きだす様子はない。			機械仕掛けの兵士が倒れているが、動きだす様子はない。			荒野に落ちる影							
鋭い武器で突かれたような形跡が見られる……。誰かに破壊されたようだ。			鋭い武器で突かれたような形跡が見られる……。誰かに破壊されたようだ。			荒野に落ちる影							
鋭い武器で突かれたような形跡が見られる……。誰かに破壊されたようだ。			鋭い武器で突かれたような形跡が見られる……。誰かに破壊されたようだ。			荒野に落ちる影							
エレネッシパは大丈夫？あの子も気が気じゃないだろうから……。			エレネッシパは大丈夫？あの子も気が気じゃないだろうから……。			荒野に落ちる影							
あなたが心配して来てくださったこと、社長たちが帰ってきたら伝えておきますね！			あなたが心配して来てくださったこと、社長たちが帰ってきたら伝えておきますね！			荒野に落ちる影							
なるほどな……そいつが助けてくれたのか。			なるほどな……そいつが助けてくれたのか。			荒野に落ちる影							
