オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
主戦力である「暁」のみなさんは、とにかく足をとめずに、先へと進んでください。			主戦力である「暁」のみなさんは、とにかく足をとめずに、先へと進んでください。			神の門							
よし、まずは「エンセラダス魔導工廠」へ移動だな。集団行動は目立つ、各個でピピンたちのところへ向かおう。			よし、まずは「エンセラダス魔導工廠」へ移動だな。集団行動は目立つ、各個でピピンたちのところへ向かおう。			神の門							
さあ、ピピンのところに移動しよう！「エンセラダス魔導工廠」は、ここから北へ直進したところだよ！			さあ、ピピンのところに移動しよう！「エンセラダス魔導工廠」は、ここから北へ直進したところだよ！			神の門							
あ、あの……「暁」の方も毛布が必要であればおっしゃってくださいね。とくにあちらの、ウリエンジェさんとか……。			あ、あの……「暁」の方も毛布が必要であればおっしゃってくださいね。とくにあちらの、ウリエンジェさんとか……。			神の門							
懐であたためる……。なるほど……そういうのもある……のか……？			懐であたためる……。なるほど……そういうのもある……のか……？			神の門							
坊やの夢見事につきあっていられるか。それよりも……行くぞ、待ちに待った戦いだ！			坊やの夢見事につきあっていられるか。それよりも……行くぞ、待ちに待った戦いだ！			神の門							
作戦は現在のところ順調です。ピピン殿から、ご報告をお聞きください。			作戦は現在のところ順調です。ピピン殿から、ご報告をお聞きください。			神の門							
よく来てくれた。ルキア殿から、君が倒れたと報告を受けていたが……その様子だと大事はないようだな、安心したぞ。			よく来てくれた。ルキア殿から、君が倒れたと報告を受けていたが……その様子だと大事はないようだな、安心したぞ。			神の門							
工廠内の安全は、すでに確保した。我々が「バブイルの塔」へ向かったあとも、数名がここに残り、退路の確保にあたることになっている。			工廠内の安全は、すでに確保した。我々が「バブイルの塔」へ向かったあとも、数名がここに残り、退路の確保にあたることになっている。			神の門							
あとはこちらの面子がそろい、陽動班が行動を開始するのを待つばかりだ。			あとはこちらの面子がそろい、陽動班が行動を開始するのを待つばかりだ。			神の門							
君は、「レンテの涙の派遣団員」に声をかけ、地下にある貨物駅で待機していてくれ。ほかの者も、到着し次第そちらに誘導しよう。			君は、「レンテの涙の派遣団員」に声をかけ、地下にある貨物駅で待機していてくれ。ほかの者も、到着し次第そちらに誘導しよう。			神の門							
貨物駅へは、「レンテの涙の派遣団員」が案内する。そこで皆がそろうのを待っていてくれ。			貨物駅へは、「レンテの涙の派遣団員」が案内する。そこで皆がそろうのを待っていてくれ。			神の門							
