トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
(-ミーラジャ-)だって、「双血の教え」が劣等種と謳うシュバラール族の子が、優れた種である双頭を、たったひとりで打ち負かしたんだもの。			(-ミーラジャ-)だって、「双血の教え」が劣等種と謳うシュバラール族の子が、優れた種である双頭を、たったひとりで打ち負かしたんだもの。			樹海の民、マムージャ族							
ま、次も勝てるとは限らねぇけどな。あいつ、めちゃめちゃ強いし。			ま、次も勝てるとは限らねぇけどな。あいつ、めちゃめちゃ強いし。			樹海の民、マムージャ族							
そう、バクージャジャは強ぇんだよ。正々堂々と戦えば、かなりの実力のはずなのに……なんでか汚い真似ばっかりしやがってさ。			そう、バクージャジャは強ぇんだよ。正々堂々と戦えば、かなりの実力のはずなのに……なんでか汚い真似ばっかりしやがってさ。			樹海の民、マムージャ族							
(-ミーラジャ-)……それは、あの子だけが悪いわけじゃないの。			(-ミーラジャ-)……それは、あの子だけが悪いわけじゃないの。			樹海の民、マムージャ族							
(-ミーラジャ-)これまでも、戦いに敗れた双頭はいた。光鱗戦闘団を率いて外つ国へと繰り出した、モラージャジャが最たる例よ。			(-ミーラジャ-)これまでも、戦いに敗れた双頭はいた。光鱗戦闘団を率いて外つ国へと繰り出した、モラージャジャが最たる例よ。			樹海の民、マムージャ族							
(-ミーラジャ-)これまでも、戦いに敗れた双頭はいた。			(-ミーラジャ-)これまでも、戦いに敗れた双頭はいた。			樹海の民、マムージャ族							
(-ミーラジャ-)なのに、どうして「双血の教え」の人々は、双頭を信奉し続けているのだと思う？			(-ミーラジャ-)なのに、どうして「双血の教え」の人々は、双頭を信奉し続けているのだと思う？			樹海の民、マムージャ族							
……オヤジか。			……オヤジか。			樹海の民、マムージャ族							
(-ミーラジャ-)トラル大陸の頂点に立った史上初の存在は、双頭のマムージャ族だった。その事実が、彼らに双頭という夢を見せ続けている。			(-ミーラジャ-)トラル大陸の頂点に立った史上初の存在は、双頭のマムージャ族だった。その事実が、彼らに双頭という夢を見せ続けている。			樹海の民、マムージャ族							
(-ミーラジャ-)私はそれを止めたいの。マムークの人々に、「双血の教え」を捨てさせたい……。			(-ミーラジャ-)私はそれを止めたいの。マムークの人々に、「双血の教え」を捨てさせたい……。			樹海の民、マムージャ族							
そりゃ、ほかの部族を見下すような考えは、良くねぇけどよ……お前は、なんでそこまでして……。			そりゃ、ほかの部族を見下すような考えは、良くねぇけどよ……お前は、なんでそこまでして……。			樹海の民、マムージャ族							
(-ミーラジャ-)あなたたちにも、知ってもらうのがいいでしょうね。双頭を生み出すということが……どういうことなのかを。			(-ミーラジャ-)あなたたちにも、知ってもらうのがいいでしょうね。双頭を生み出すということが……どういうことなのかを。			樹海の民、マムージャ族							
星覚えの園庭のコーナは、バナナの葉の調達に向かいたいようだ。			星覚えの園庭のコーナは、バナナの葉の調達に向かいたいようだ。			無知ゆえに争い、知りて絆を結ぶ							
