ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
あ、ベアティヌ先生のおもちゃ！物で釣ろうだなんて、汚いおとなだなー。でも、しょうがないから真面目に練習してあげる！			あ、ベアティヌ先生のおもちゃ！物で釣ろうだなんて、汚いおとなだなー。でも、しょうがないから真面目に練習してあげる！			誰がために人は踊る							
踊りの練習って、つまんなーい！おもちゃで遊びたーい！			踊りの練習って、つまんなーい！おもちゃで遊びたーい！			誰がために人は踊る							
これって、ベアティヌ先生が作ったおもちゃだ！さては……「わいろ」ってやつね！？わかったよ、ちゃんと練習もするよ～。			これって、ベアティヌ先生が作ったおもちゃだ！さては……「わいろ」ってやつね！？わかったよ、ちゃんと練習もするよ～。			誰がために人は踊る							
うーんと、りょうてを振って……左上上右下……こっちは右上上左下か……はぁ、むずかしいなあ。			うーんと、りょうてを振って……左上上右下……こっちは右上上左下か……はぁ、むずかしいなあ。			誰がために人は踊る							
はあ……この「とろけるもくめ」と「かすかなほうこう」！メープル材で作った、おもちゃ……ですね！うつくしいです、はあはあ……。			はあ……この「とろけるもくめ」と「かすかなほうこう」！メープル材で作った、おもちゃ……ですね！うつくしいです、はあはあ……。			誰がために人は踊る							
……へへ、ベアティヌ先生の真似だよ。先生のおもちゃで遊ぶ前に、練習を終わらせなきゃ！			……へへ、ベアティヌ先生の真似だよ。先生のおもちゃで遊ぶ前に、練習を終わらせなきゃ！			誰がために人は踊る							
ありがとうございます。子どもたちが戻ってきて、とても真面目に、踊りの練習をしてくれましたわ！			ありがとうございます。子どもたちが戻ってきて、とても真面目に、踊りの練習をしてくれましたわ！			誰がために人は踊る							
この舞は、毎年の収穫祭で踊っていますのよ。豊穣の神ノフィカ様と、森の精霊たちに、森の恵みを感謝するための踊りなのです。			この舞は、毎年の収穫祭で踊っていますのよ。豊穣の神ノフィカ様と、森の精霊たちに、森の恵みを感謝するための踊りなのです。			誰がために人は踊る							
あまり、他所の方には教えないのですけど……今回のお礼に、貴方には教えてさしあげますわ。			あまり、他所の方には教えないのですけど……今回のお礼に、貴方には教えてさしあげますわ。			誰がために人は踊る							
あら、飲み込みがいいですわね。とっても美しく、優雅に踊れていますわよ？			あら、飲み込みがいいですわね。とっても美しく、優雅に踊れていますわよ？			誰がために人は踊る							
(-陰鬱な声の男-)と、とても、楽しそうですね……。製材中だったのですが、つい来てしまいました……。			(-陰鬱な声の男-)と、とても、楽しそうですね……。製材中だったのですが、つい来てしまいました……。			誰がために人は踊る							
フフ、フフフフフ……。先生も仲間に入れてください……フフフ……。			フフ、フフフフフ……。先生も仲間に入れてください……フフフ……。			誰がために人は踊る							
さもないと……あなたをアッシュ材のように製材して、収穫祭で献納する槍の柄にしちゃいますよ……フフフ……。			さもないと……あなたをアッシュ材のように製材して、収穫祭で献納する槍の柄にしちゃいますよ……フフフ……。			誰がために人は踊る							
ギャーーーーーーーーッ！！！			ギャーーーーーーーーッ！！！			誰がために人は踊る							
あのさー、ベアティヌ先生。先生の木工ジョークは、「しょたいめんのじょせい」に言っちゃダメだよー！			あのさー、ベアティヌ先生。先生の木工ジョークは、「しょたいめんのじょせい」に言っちゃダメだよー！			誰がために人は踊る							
そうだよ、ただでさえ顔が怖いんだから！ぼくたちが、いつも先生に言ってるでしょー？			そうだよ、ただでさえ顔が怖いんだから！ぼくたちが、いつも先生に言ってるでしょー？			誰がために人は踊る							
場を……和ませたかっただけなのですが……。すみません……ハァ……。			場を……和ませたかっただけなのですが……。すみません……ハァ……。			誰がために人は踊る							
だいじょうぶ、収穫祭までにわたしたちが教えてあげるっ。豊穣の踊りじゃなくって、「おとめごころ」をね！			だいじょうぶ、収穫祭までにわたしたちが教えてあげるっ。豊穣の踊りじゃなくって、「おとめごころ」をね！			誰がために人は踊る							
