トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
……ゾラージャ兄さんは強かったよ。Forenameの力を借りなきゃ、倒せなかったほどにさ。			……ゾラージャ兄さんは強かったよ。Forenameの力を借りなきゃ、倒せなかったほどにさ。			新たな家族を迎えて							
ただ、倒せばそれで終わりってわけじゃねぇ。王を廃したからには、アレクサンドリアの連中に……なにより、グルージャに対しての責任がある。			ただ、倒せばそれで終わりってわけじゃねぇ。王を廃したからには、アレクサンドリアの連中に……なにより、グルージャに対しての責任がある。			新たな家族を迎えて							
……！			……！			新たな家族を迎えて							
家族になるって約束したろ？兄さんの子だからってだけじゃなく、お前を知って、好きになって……アタシ自身が心に決めたことだ。			家族になるって約束したろ？兄さんの子だからってだけじゃなく、お前を知って、好きになって……アタシ自身が心に決めたことだ。			新たな家族を迎えて							
血が繋がってなくたってアタシたちは家族だ。ゾラージャ兄さんから受け継いだものとか、悩むこともあるだろうけど、家族として助け合っていこう！			血が繋がってなくたってアタシたちは家族だ。ゾラージャ兄さんから受け継いだものとか、悩むこともあるだろうけど、家族として助け合っていこう！			新たな家族を迎えて							
うん……！			うん……！			新たな家族を迎えて							
へへっ、アタシはForenameとだって、家族になりてぇくらいなんだぜ！			へへっ、アタシはForenameとだって、家族になりてぇくらいなんだぜ！			新たな家族を迎えて							
なっ……！？それは、どういう意味の発言だい！？			なっ……！？それは、どういう意味の発言だい！？			新たな家族を迎えて							
うん？　大好きな家族がたくさんいたら、その方が楽しいだろ？そんなことより、ブライトプルーム・ポストはすぐそこだ。行こうぜ！			うん？　大好きな家族がたくさんいたら、その方が楽しいだろ？そんなことより、ブライトプルーム・ポストはすぐそこだ。行こうぜ！			新たな家族を迎えて							
僕もForenameと家族になりたい！			僕もForenameと家族になりたい！			新たな家族を迎えて							
オヤジがアタシたちを家族にしてくれたみてぇに、たくさんの家族と楽しく暮らせたら最高だ！お前も、ひとりやふたり増えたっていいと思うよな？			オヤジがアタシたちを家族にしてくれたみてぇに、たくさんの家族と楽しく暮らせたら最高だ！お前も、ひとりやふたり増えたっていいと思うよな？			新たな家族を迎えて							
