東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
違う臭いがする、だって！？そんなことはないはずだよ、手入れだってこまめにしてるし！			違う臭いがする、だって！？そんなことはないはずだよ、手入れだってこまめにしてるし！			クロバナ、雑草むしりに挑む！							
せっかく作業の仕方とかを教えてあげたのに、我が子、同然の田んぼを、よりによって臭いだなんて！			せっかく作業の仕方とかを教えてあげたのに、我が子、同然の田んぼを、よりによって臭いだなんて！			クロバナ、雑草むしりに挑む！							
さては、地味な仕事を押しつけた腹いせだね？作業が気にくわないからといって、侮辱するなんて……雑草むしりが終わったのなら、もう帰ってくれ！			さては、地味な仕事を押しつけた腹いせだね？作業が気にくわないからといって、侮辱するなんて……雑草むしりが終わったのなら、もう帰ってくれ！			クロバナ、雑草むしりに挑む！							
ご、ごめん！言いがかりをつけたつもりではなかったんだけど……。			ご、ごめん！言いがかりをつけたつもりではなかったんだけど……。			クロバナ、雑草むしりに挑む！							
……いろいろ教えてくれてありがとう、ハヤブサさん。失礼するよ。それじゃあ、旅の方、「フクド」さんのところに戻ろうか。			……いろいろ教えてくれてありがとう、ハヤブサさん。失礼するよ。それじゃあ、旅の方、「フクド」さんのところに戻ろうか。			クロバナ、雑草むしりに挑む！							
まったく、違う臭いがするだなんて……！そんなことはないはずだよ、手入れだってこまめにしてるし！			まったく、違う臭いがするだなんて……！そんなことはないはずだよ、手入れだってこまめにしてるし！			クロバナ、雑草むしりに挑む！							
言いがかりをつけたつもりではなかったんだ。たしかに、少し違った臭いがしたんだよ……。			言いがかりをつけたつもりではなかったんだ。たしかに、少し違った臭いがしたんだよ……。			クロバナ、雑草むしりに挑む！							
雑草抜きはどうだった？続けていけそうな仕事だったかい？			雑草抜きはどうだった？続けていけそうな仕事だったかい？			クロバナ、雑草むしりに挑む！							
それが……。			それが……。			クロバナ、雑草むしりに挑む！							
なんだって！？せっかく、続けていけそうな仕事だったのに、ハヤブサのやつを怒らせてしまっただって？			なんだって！？せっかく、続けていけそうな仕事だったのに、ハヤブサのやつを怒らせてしまっただって？			クロバナ、雑草むしりに挑む！							
なんて勿体無いことを……。どうして、そんなことを口走ったんだい？			なんて勿体無いことを……。どうして、そんなことを口走ったんだい？			クロバナ、雑草むしりに挑む！							
怒らせる気はなかったんだよ。ただ、たしかにハヤブサさんの田からは、俺が知ってる、ほかの田の臭いとは違う臭いがしたんだ、それでつい……。			怒らせる気はなかったんだよ。ただ、たしかにハヤブサさんの田からは、俺が知ってる、ほかの田の臭いとは違う臭いがしたんだ、それでつい……。			クロバナ、雑草むしりに挑む！							
ううむ……まぁ、ハヤブサも悪いやつじゃない。田に愛情を注いでいるからこそ、怒っただけだろう。私からも詫びを入れておくとしようか……。			ううむ……まぁ、ハヤブサも悪いやつじゃない。田に愛情を注いでいるからこそ、怒っただけだろう。私からも詫びを入れておくとしようか……。			クロバナ、雑草むしりに挑む！							
ユヅカ代官屋敷のギョクは、ヒトに頼みたいことがあるようだ。			ユヅカ代官屋敷のギョクは、ヒトに頼みたいことがあるようだ。			お茶は飲んでも飲まれるな							
