ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
これ、思ってたよりずっと痛い……。			これ、思ってたよりずっと痛い……。			メ・ゼト・ティアよ永遠に							
ぐにゃあああぁぁぁぁぁ！！			ぐにゃあああぁぁぁぁぁ！！			メ・ゼト・ティアよ永遠に							
…………。			…………。			メ・ゼト・ティアよ永遠に							
あ、これ、確実に抜けてない……。火薬、一粒も抜けてないって、たった今、確信しました……。			あ、これ、確実に抜けてない……。火薬、一粒も抜けてないって、たった今、確信しました……。			メ・ゼト・ティアよ永遠に							
はぁ……はぁ……。ちょっと……タンマ……。			はぁ……はぁ……。ちょっと……タンマ……。			メ・ゼト・ティアよ永遠に							
……でもこれで、強靱な肉体を手に入れることができたはず……。これなら、「ヌン」にも勝てる！			……でもこれで、強靱な肉体を手に入れることができたはず……。これなら、「ヌン」にも勝てる！			メ・ゼト・ティアよ永遠に							
けど……ちょっとだけ……休ませてください……。			けど……ちょっとだけ……休ませてください……。			メ・ゼト・ティアよ永遠に							
ピーリングストーンズのアルフィノは、神降ろしについて思うところがあるようだ。			ピーリングストーンズのアルフィノは、神降ろしについて思うところがあるようだ。			ウィルラの神、カリヤナの神							
サリーシャと話す			サリーシャと話す			ウィルラの神、カリヤナの神							
ヴァジュラと話す			ヴァジュラと話す			ウィルラの神、カリヤナの神							
帝国の存在が、また新たな蛮神を生んだ……。蛮神討滅を国是として掲げる国の行動によって、蛮神が生じるなんて、あまりにも悪い冗談だわ……。			帝国の存在が、また新たな蛮神を生んだ……。蛮神討滅を国是として掲げる国の行動によって、蛮神が生じるなんて、あまりにも悪い冗談だわ……。			ウィルラの神、カリヤナの神							
私の故郷のすぐ側で、蛮神が召喚されたなんて……下手をしたら、親族たちがテンパードになっていたかと思うと、ゾッとしてしまいます。			私の故郷のすぐ側で、蛮神が召喚されたなんて……下手をしたら、親族たちがテンパードになっていたかと思うと、ゾッとしてしまいます。			ウィルラの神、カリヤナの神							
あのとき、フォルドラを取り逃がしていなければ……！			あのとき、フォルドラを取り逃がしていなければ……！			ウィルラの神、カリヤナの神							
シュー……神狩りの英雄とは、お前のことか？すまないが、その力を我らに貸してもらえぬだろうか……。			シュー……神狩りの英雄とは、お前のことか？すまないが、その力を我らに貸してもらえぬだろうか……。			ウィルラの神、カリヤナの神							
ラクシュミへの対応についてだが……私としては、まず戦闘を回避できる道がないのかを探りたい。			ラクシュミへの対応についてだが……私としては、まず戦闘を回避できる道がないのかを探りたい。			ウィルラの神、カリヤナの神							
私にできることがあるとすれば、話し合いによって、これ以上の無益な戦いを避けることだと思うのだ。			私にできることがあるとすれば、話し合いによって、これ以上の無益な戦いを避けることだと思うのだ。			ウィルラの神、カリヤナの神							
それに一言で蛮神といっても、その性質は様々だからね。積極的に攻勢に出る武神ラーヴァナのような存在から、専守防衛型の雷神ラムウといった例もある。			それに一言で蛮神といっても、その性質は様々だからね。積極的に攻勢に出る武神ラーヴァナのような存在から、専守防衛型の雷神ラムウといった例もある。			ウィルラの神、カリヤナの神							
そこで、まずはカリヤナ派のアナンタ族が召喚したという、ラクシュミという神について、詳しく知る必要があると思うんだ。			そこで、まずはカリヤナ派のアナンタ族が召喚したという、ラクシュミという神について、詳しく知る必要があると思うんだ。			ウィルラの神、カリヤナの神							
シュー……ならば、ここより北に向かった先にある、我らウィルラ派の巣、「ウィルラ・ニリヤ」に招待しよう。我らが指導者、姉妹「サリーシャ」に会うといい。			シュー……ならば、ここより北に向かった先にある、我らウィルラ派の巣、「ウィルラ・ニリヤ」に招待しよう。我らが指導者、姉妹「サリーシャ」に会うといい。			ウィルラの神、カリヤナの神							
わかったわ。それじゃ、悪いけどメ・ナーゴは、この状況について、解放軍と同盟軍に報せておいてちょうだい。			わかったわ。それじゃ、悪いけどメ・ナーゴは、この状況について、解放軍と同盟軍に報せておいてちょうだい。			ウィルラの神、カリヤナの神							
