テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
……いい香りだ、ありがとうね。タマゴを温めるのはヒマでねぇ……時々、苛ついてしまうのさ。空腹も満たされれば、少しは落ち着くはずだよ。			……いい香りだ、ありがとうね。タマゴを温めるのはヒマでねぇ……時々、苛ついてしまうのさ。空腹も満たされれば、少しは落ち着くはずだよ。			空腹のイライラ							
テイルフェザーのマルスシャンは、悔しそうに顔をしかめている。			テイルフェザーのマルスシャンは、悔しそうに顔をしかめている。			横取りは許さない							
マルスシャンは、チョコボを横取りする熊を倒したいようだ。高地ドラヴァニアのチョコボの森で、「指定地点」に「チョコボのモモ肉」を置こう。			マルスシャンは、チョコボを横取りする熊を倒したいようだ。高地ドラヴァニアのチョコボの森で、「指定地点」に「チョコボのモモ肉」を置こう。			横取りは許さない							
指定地点にチョコボのモモ肉を置いた。チョコボの森の「指定地点」で待機し、「ジャイアント・ゴールドベアー」が現れたら討伐しよう。			指定地点にチョコボのモモ肉を置いた。チョコボの森の「指定地点」で待機し、「ジャイアント・ゴールドベアー」が現れたら討伐しよう。			横取りは許さない							
ジャイアント・ゴールドベアーを討伐した。テイルフェザーの「マルスシャン」に報告しよう。			ジャイアント・ゴールドベアーを討伐した。テイルフェザーの「マルスシャン」に報告しよう。			横取りは許さない							
ジャイアント・ゴールドベアーを倒したことをマルスシャンに報告した。これで、今後は捕まえたチョコボを横取りされることもないだろう。			ジャイアント・ゴールドベアーを倒したことをマルスシャンに報告した。これで、今後は捕まえたチョコボを横取りされることもないだろう。			横取りは許さない							
指定地点にチョコボのモモ肉を置く			指定地点にチョコボのモモ肉を置く			横取りは許さない							
指定地点で待機しジャイアント・ゴールドベアーを討伐			指定地点で待機しジャイアント・ゴールドベアーを討伐			横取りは許さない							
マルスシャンに報告			マルスシャンに報告			横取りは許さない							
まったく、面白くない話だ……怒りたくもなるさ。せっかく獲ったチョコボを、横取りされてるんだからな！あの熊を懲らしめてくれるってなら、喜んで依頼するよ。			まったく、面白くない話だ……怒りたくもなるさ。せっかく獲ったチョコボを、横取りされてるんだからな！あの熊を懲らしめてくれるってなら、喜んで依頼するよ。			横取りは許さない							
奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			横取りは許さない							
奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			奴は警戒心が強いが、この「チョコボのモモ肉」を仕掛けて、離れたところから様子をみていれば、きっと現れるはずさ。それじゃ、よろしく頼むぜ。			横取りは許さない							
おお、やってくれたのか！？しかし、あいつを易々倒すとは流石だな。これで今後は横取りされることもないだろう、ありがとな！			おお、やってくれたのか！？しかし、あいつを易々倒すとは流石だな。これで今後は横取りされることもないだろう、ありがとな！			横取りは許さない							
ヴァスの塚のイダテンは、冒険者を期待の眼差しで見ているようだ。			ヴァスの塚のイダテンは、冒険者を期待の眼差しで見ているようだ。			先制攻撃！							
イダテンは、グナースの塚のグナース族が攻めてくるのを知ったようだ。高地ドラヴァニアのグナースの塚で、「ロス・ファイアドローン」、「ロス・スチールドローン」、「ロス・カルティベーター」のいずれかを4体討伐しよう。			イダテンは、グナースの塚のグナース族が攻めてくるのを知ったようだ。高地ドラヴァニアのグナースの塚で、「ロス・ファイアドローン」、「ロス・スチールドローン」、「ロス・カルティベーター」のいずれかを4体討伐しよう。			先制攻撃！							
グナース兵を討伐した。ヴァスの塚の「イダテン」に報告しよう。			グナース兵を討伐した。ヴァスの塚の「イダテン」に報告しよう。			先制攻撃！							
先制攻撃したことを、イダテンに報告した。稀にではあるが、「分かたれし者」にも「意思の囁き」を掴むことができる者がおり、そこから掴んだ機密を利用すれば、不意を打てるようだ。			先制攻撃したことを、イダテンに報告した。稀にではあるが、「分かたれし者」にも「意思の囁き」を掴むことができる者がおり、そこから掴んだ機密を利用すれば、不意を打てるようだ。			先制攻撃！							
