ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
聞くところによれば、シャトナ族とヴィエラ族の生物的な特徴は等しい。多くの他種族より長命で、男女比に大きな偏りがある……。			聞くところによれば、シャトナ族とヴィエラ族の生物的な特徴は等しい。多くの他種族より長命で、男女比に大きな偏りがある……。			海山川を乗り越えて							
そういう者同士だからこそ、知りたいんだ。お前たちがこの大陸で、どんな風に生きてきたのかを。			そういう者同士だからこそ、知りたいんだ。お前たちがこの大陸で、どんな風に生きてきたのかを。			海山川を乗り越えて							
っと……俺の話ばかり、長々と悪かったな。地図も助かった、ありがとう。			っと……俺の話ばかり、長々と悪かったな。地図も助かった、ありがとう。			海山川を乗り越えて							
何と言う？			何と言う？			海山川を乗り越えて							
里を大事にしてるのが伝わってきた			里を大事にしてるのが伝わってきた			海山川を乗り越えて							
大変そうな役目だ……			大変そうな役目だ……			海山川を乗り越えて							
里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			海山川を乗り越えて							
確かに楽ではないが……里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			確かに楽ではないが……里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			海山川を乗り越えて							
家族…………。			家族…………。			海山川を乗り越えて							
ああ、いえ……貴重なお話ありがとうございました。			ああ、いえ……貴重なお話ありがとうございました。			海山川を乗り越えて							
Forename、よければまた、手の空いたときにでも手伝いにきてくださいね。			Forename、よければまた、手の空いたときにでも手伝いにきてくださいね。			海山川を乗り越えて							
シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「夏の輝きのような職人」と感じているようです！			シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「夏の輝きのような職人」と感じているようです！			海山川を乗り越えて							
「園芸師／採掘師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			「園芸師／採掘師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			海山川を乗り越えて							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			海山川を乗り越えて							
