エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
スフェーン様は当初、巻き込まれたすべてのトライヨラの民に、エバーキープへの移住を勧めておられました。雷に満ちた土地での暮らしは、身体に悪影響がありますから。			スフェーン様は当初、巻き込まれたすべてのトライヨラの民に、エバーキープへの移住を勧めておられました。雷に満ちた土地での暮らしは、身体に悪影響がありますから。			小さな君を探して							
それでもなお、我らが申し出を断ると、私たちの文化や生き方を尊重すると言ってくださいましてね。			それでもなお、我らが申し出を断ると、私たちの文化や生き方を尊重すると言ってくださいましてね。			小さな君を探して							
天幕や物資を用意し、暮らしの場を作る手伝いをしてくださった。そうして今でも頻繁に訪れては、気さくに声をかけ、私たちの様子を見に来てくださるのです。			天幕や物資を用意し、暮らしの場を作る手伝いをしてくださった。そうして今でも頻繁に訪れては、気さくに声をかけ、私たちの様子を見に来てくださるのです。			小さな君を探して							
へっ、スフェーンらしいな。あいつのそういうとこ、アタシも好きなんだ。			へっ、スフェーンらしいな。あいつのそういうとこ、アタシも好きなんだ。			小さな君を探して							
とにかく、グルージャの向かった先を教えてくれてありがとよ。さっそく探しに行ってくるぜ！			とにかく、グルージャの向かった先を教えてくれてありがとよ。さっそく探しに行ってくるぜ！			小さな君を探して							
タープが教えてくれたとおり、南の方に進んでみよう。ちっこいから見逃さないようにしねぇとな。			タープが教えてくれたとおり、南の方に進んでみよう。ちっこいから見逃さないようにしねぇとな。			小さな君を探して							
……グルージャは賢い子だが、心に孤独を抱えている。実の親に捨てられたのだから無理もない。			……グルージャは賢い子だが、心に孤独を抱えている。実の親に捨てられたのだから無理もない。			小さな君を探して							
グルージャのこと、どうかよろしく頼むよ。私はあの子のことがどうにも好きでね。			グルージャのこと、どうかよろしく頼むよ。私はあの子のことがどうにも好きでね。			小さな君を探して							
何だここ……。			何だここ……。			小さな君を探して							
街が、水没してる……！			街が、水没してる……！			小さな君を探して							
それに、エバーキープとは街並みが全然違ぇ。どちらかいうと、シャーレアンの建物の方が近い気がするけど、どれもボロボロに壊れちまってるな……。			それに、エバーキープとは街並みが全然違ぇ。どちらかいうと、シャーレアンの建物の方が近い気がするけど、どれもボロボロに壊れちまってるな……。			小さな君を探して							
