オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
遺品には故人の魂が宿っているという。丁重に扱いたいのはもちろん、戦闘で殺気立ってしまうと、彼らの安らかな眠りを妨げることになるのだ。			遺品には故人の魂が宿っているという。丁重に扱いたいのはもちろん、戦闘で殺気立ってしまうと、彼らの安らかな眠りを妨げることになるのだ。			遺品に宿る魂							
ゆえに、もし魔物に襲われても、わしは戦うことができぬので、そのつもりでいてほしい……。では遺族たちのもとへゆこう。			ゆえに、もし魔物に襲われても、わしは戦うことができぬので、そのつもりでいてほしい……。では遺族たちのもとへゆこう。			遺品に宿る魂							
何をする？			何をする？			遺品に宿る魂							
話す			話す			遺品に宿る魂							
同行状態を解除する			同行状態を解除する			遺品に宿る魂							
キャンセル			キャンセル			遺品に宿る魂							
遺品には故人の魂が宿っているという。なればこそ、丁重に扱わねばな。			遺品には故人の魂が宿っているという。なればこそ、丁重に扱わねばな。			遺品に宿る魂							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			遺品に宿る魂							
用があるのならば致し方ない。わしは「ナマイ村」で待っておるぞ。			用があるのならば致し方ない。わしは「ナマイ村」で待っておるぞ。			遺品に宿る魂							
用が済んだのなら、遺族の元へ向かおう。遺品はわしが回収するので、そなたは彼らの話に耳を傾けてくれるだけでいい。			用が済んだのなら、遺族の元へ向かおう。遺品はわしが回収するので、そなたは彼らの話に耳を傾けてくれるだけでいい。			遺品に宿る魂							
このクエストを進行させるには、ヒエンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ヒエンが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			遺品に宿る魂							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			遺品に宿る魂							
遺品を用意いたしました。帝国に徴兵されていって帰ってこなかった夫、マロヤの代わりに、この「筆」を霊廟に安置してください。			遺品を用意いたしました。帝国に徴兵されていって帰ってこなかった夫、マロヤの代わりに、この「筆」を霊廟に安置してください。			遺品に宿る魂							
マロヤの逸話があれば、聞かせてくれぬか？			マロヤの逸話があれば、聞かせてくれぬか？			遺品に宿る魂							
マロヤは大人しい人で、絵を描くことを好みました。野良仕事にまで、その筆を持ち込んで、暇さえあればヤンサの美しい風景を描いていたものです。			マロヤは大人しい人で、絵を描くことを好みました。野良仕事にまで、その筆を持ち込んで、暇さえあればヤンサの美しい風景を描いていたものです。			遺品に宿る魂							
いつかクガネに渡って、水墨画家として生きていけたらと願っていたようです。			いつかクガネに渡って、水墨画家として生きていけたらと願っていたようです。			遺品に宿る魂							
徴用兵として連れていかれてからも、しばらくは異国で描いた風景画が送られてきましたが、それもぱったりと途絶えてしまって……。			徴用兵として連れていかれてからも、しばらくは異国で描いた風景画が送られてきましたが、それもぱったりと途絶えてしまって……。			遺品に宿る魂							
きっと、夫は異国よりも遠い世界に行ってしまったのでしょう。願わくば美しい場所にいてもらいたいです。			きっと、夫は異国よりも遠い世界に行ってしまったのでしょう。願わくば美しい場所にいてもらいたいです。			遺品に宿る魂							
マロヤはきっと美しいところにいるだろう。この筆を安置して、彼に届けてやろう。			マロヤはきっと美しいところにいるだろう。この筆を安置して、彼に届けてやろう。			遺品に宿る魂							
ひとまず、ナマイ村で受け取る予定の遺品は、これですべてだ。棚田の方で、少し一服することにしよう。			ひとまず、ナマイ村で受け取る予定の遺品は、これですべてだ。棚田の方で、少し一服することにしよう。			遺品に宿る魂							
