アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
それでは出発しよう。先導は君に任せたぞ……！			それでは出発しよう。先導は君に任せたぞ……！			融和派と海嘯派							
何をする？			何をする？			融和派と海嘯派							
話す			話す			融和派と海嘯派							
同行状態を解除する			同行状態を解除する			融和派と海嘯派							
キャンセル			キャンセル			融和派と海嘯派							
まずは、海嘯派のサハギン族から、ドォウ殿の居場所を聞き出そう。			まずは、海嘯派のサハギン族から、ドォウ殿の居場所を聞き出そう。			融和派と海嘯派							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			融和派と海嘯派							
君が多忙な身だということは、私も承知している。戻ったら、南防波壁まで来てくれ。			君が多忙な身だということは、私も承知している。戻ったら、南防波壁まで来てくれ。			融和派と海嘯派							
もういいのか？ならば、ドォウ殿の居場所について、海嘯派の者から話を聞こう。先導は君に任せたぞ……！			もういいのか？ならば、ドォウ殿の居場所について、海嘯派の者から話を聞こう。先導は君に任せたぞ……！			融和派と海嘯派							
フスィーッ……ヒレナシが何の用だ！			フスィーッ……ヒレナシが何の用だ！			融和派と海嘯派							
フスィーッ……いつからヒレナシは、我らが産卵地を、我が物顔で歩くようになったのだ？			フスィーッ……いつからヒレナシは、我らが産卵地を、我が物顔で歩くようになったのだ？			融和派と海嘯派							
フスィーッ……ヒレナシが、ここで何をしている？			フスィーッ……ヒレナシが、ここで何をしている？			融和派と海嘯派							
このクエストを進行させるには、メルウィブが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、メルウィブが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			融和派と海嘯派							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			融和派と海嘯派							
提督は、海嘯派との話し合いを望んでいるようです。彼らが会談に応じてくれるよう説得するために、南防波壁で「メルウィブ」提督と合流してください！			提督は、海嘯派との話し合いを望んでいるようです。彼らが会談に応じてくれるよう説得するために、南防波壁で「メルウィブ」提督と合流してください！			融和派と海嘯派							
フスィーッ……何をしに来た、ヒレナシども！			フスィーッ……何をしに来た、ヒレナシども！			融和派と海嘯派							
貴殿ら海嘯派と会談の場を設けたく、交渉に参った。指導者の「ドォウ」殿は何処におられるか？			貴殿ら海嘯派と会談の場を設けたく、交渉に参った。指導者の「ドォウ」殿は何処におられるか？			融和派と海嘯派							
何を言うかと思えば、片腹痛い！我らは、ヒレナシどもと語る舌など持ってはおらんわ！			何を言うかと思えば、片腹痛い！我らは、ヒレナシどもと語る舌など持ってはおらんわ！			融和派と海嘯派							
貴様らさえいなければ、今ごろ我らは広大な産卵地を獲得し、さらに一族は繁栄していたはずなのだ！			貴様らさえいなければ、今ごろ我らは広大な産卵地を獲得し、さらに一族は繁栄していたはずなのだ！			融和派と海嘯派							
無論、貴殿らには貴殿らの主義、主張があるだろう。ゆえに、互いの考えを語り合うための場が必要なのだ。			無論、貴殿らには貴殿らの主義、主張があるだろう。ゆえに、互いの考えを語り合うための場が必要なのだ。			融和派と海嘯派							
フン、無駄なことを。ならば司祭様と話して、確かめるがいい。我らの間に、融和などありえぬことをな。			フン、無駄なことを。ならば司祭様と話して、確かめるがいい。我らの間に、融和などありえぬことをな。			融和派と海嘯派							
