ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
ルナルは、まだ苦しそうだ……。もう少し介抱しよう。			ルナルは、まだ苦しそうだ……。もう少し介抱しよう。			魔女の護ったもの							
薬も効いてきたのか、ルナルの表情が和らいできた……。			薬も効いてきたのか、ルナルの表情が和らいできた……。			魔女の護ったもの							
…………あね……さ……。			…………あね……さ……。			魔女の護ったもの							
ルナル導師は、一命をとりとめたようですね……。本当に……せめてもの救いです……。			ルナル導師は、一命をとりとめたようですね……。本当に……せめてもの救いです……。			魔女の護ったもの							
解毒薬さえ効いてくれば、あとは私の治癒魔法で、回復を促せましょう。ここからは、どうぞお任せください。			解毒薬さえ効いてくれば、あとは私の治癒魔法で、回復を促せましょう。ここからは、どうぞお任せください。			魔女の護ったもの							
大トゥパサの崇神所前のアルメは、冒険者に話があるようだ。			大トゥパサの崇神所前のアルメは、冒険者に話があるようだ。			仕掛けと呪いと毒と							
アルメから忠告を聞いた。大トゥパサの崇神所前の「ヤ・シュトラ」と話そう。			アルメから忠告を聞いた。大トゥパサの崇神所前の「ヤ・シュトラ」と話そう。			仕掛けと呪いと毒と							
ヤ・シュトラたちとともに、「大トゥパサの崇神所」に突入した。崇神所の外に帰還しよう。			ヤ・シュトラたちとともに、「大トゥパサの崇神所」に突入した。崇神所の外に帰還しよう。			仕掛けと呪いと毒と							
ヤ・シュトラ以外の仲間とともに、崇神所から脱出した。四つの明星の「サンクレッド」と話そう。			ヤ・シュトラ以外の仲間とともに、崇神所から脱出した。四つの明星の「サンクレッド」と話そう。			仕掛けと呪いと毒と							
サンクレッドから、待機するよう言われた。唐突な別れに意気消沈する一同だったが、ヤ・シュトラから託された希望は、冒険者の手の内にある。彼女の決意を無駄にしないよう、顔を上げて進んでいこう。			サンクレッドから、待機するよう言われた。唐突な別れに意気消沈する一同だったが、ヤ・シュトラから託された希望は、冒険者の手の内にある。彼女の決意を無駄にしないよう、顔を上げて進んでいこう。			仕掛けと呪いと毒と							
ヤ・シュトラと話す			ヤ・シュトラと話す			仕掛けと呪いと毒と							
サンクレッドと話す			サンクレッドと話す			仕掛けと呪いと毒と							
さあ、「大トゥパサの崇神所」の中へ入りましょう。ユールモア軍も近くまで来ているし、あまり時間がないわ。			さあ、「大トゥパサの崇神所」の中へ入りましょう。ユールモア軍も近くまで来ているし、あまり時間がないわ。			仕掛けと呪いと毒と							
「大トゥパサの崇神所」に突入する前に、忠告しておきたいことがある。			「大トゥパサの崇神所」に突入する前に、忠告しておきたいことがある。			仕掛けと呪いと毒と							
我々の伝え聞いてきたところによると、崇神所の中には、これまで以上に危険な仕掛けや、防衛機構が張り巡らされているらしい。			我々の伝え聞いてきたところによると、崇神所の中には、これまで以上に危険な仕掛けや、防衛機構が張り巡らされているらしい。			仕掛けと呪いと毒と							
中でも注意したいのが、転移の魔法で、強制的に離れ離れにさせられてしまうことだ。			中でも注意したいのが、転移の魔法で、強制的に離れ離れにさせられてしまうことだ。			仕掛けと呪いと毒と							
