不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
こんな遠い空の上まで来れたおまえなら、「魔泉釣り」さえ、やってのけちゃうかもしれないくぽ！期待してるくぽよ～！			こんな遠い空の上まで来れたおまえなら、「魔泉釣り」さえ、やってのけちゃうかもしれないくぽ！期待してるくぽよ～！			釣り道楽、雲海を目指す							
くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			くぽくぽ～！　おまえ、すごい腕前くぽ！モグも「バルーンパファー」の姿を見れて大満足くぽ。はやく、その困ってる人に持って行ってあげるくぽ！			釣り道楽、雲海を目指す							
オレの方でもいろいろと調べちゃいるが、皇都付近の雲海では、まったく目撃情報なしだ。やはり、もっと奥地の雲海まで行かないと駄目なのか……？			オレの方でもいろいろと調べちゃいるが、皇都付近の雲海では、まったく目撃情報なしだ。やはり、もっと奥地の雲海まで行かないと駄目なのか……？			釣り道楽、雲海を目指す							
すげえよ、Forename……。お前さん、幻の魚をひとりで釣り上げたのか！ありがとよ、これでジッチャンを助けてやれるぜ！			すげえよ、Forename……。お前さん、幻の魚をひとりで釣り上げたのか！ありがとよ、これでジッチャンを助けてやれるぜ！			釣り道楽、雲海を目指す							
ジッチャン！　こいつをさばいて調理しな！……そんで、領主代理の料理にだけ、バルーンパファーの毒を死なない程度に残しておけ！			ジッチャン！　こいつをさばいて調理しな！……そんで、領主代理の料理にだけ、バルーンパファーの毒を死なない程度に残しておけ！			釣り道楽、雲海を目指す							
安心しろ……。料理だけ出して、関係者はトンズラしてきな！全員、オレがかくまってやらあ！			安心しろ……。料理だけ出して、関係者はトンズラしてきな！全員、オレがかくまってやらあ！			釣り道楽、雲海を目指す							
……おおお、その頼もしきお言葉。やはり、あなたが家督を継ぐべきです……！跡目の座を退いてしまわれたのが、口惜しくてなりませぬぞ。			……おおお、その頼もしきお言葉。やはり、あなたが家督を継ぐべきです……！跡目の座を退いてしまわれたのが、口惜しくてなりませぬぞ。			釣り道楽、雲海を目指す							
あーあ、ジッチャン、しゃべっちゃダメだって……！			あーあ、ジッチャン、しゃべっちゃダメだって……！			釣り道楽、雲海を目指す							
Forename、いまさら隠してても仕方ねえ。……その領主代理ってのは、オレの弟なんだ。			Forename、いまさら隠してても仕方ねえ。……その領主代理ってのは、オレの弟なんだ。			釣り道楽、雲海を目指す							
あいつは、ずっと領主になりたがってたからな。跡目争いでこじれるよりは良いかと、身を引いたんだが……領民を苦しめてるとあっちゃ、話は別だ。			あいつは、ずっと領主になりたがってたからな。跡目争いでこじれるよりは良いかと、身を引いたんだが……領民を苦しめてるとあっちゃ、話は別だ。			釣り道楽、雲海を目指す							
ジッチャン、俺は覚悟を決めたぜ。だからよ、もう心配するのはやめとけ……。さ、あのうつけ者の腹を苦しめてやんな！			ジッチャン、俺は覚悟を決めたぜ。だからよ、もう心配するのはやめとけ……。さ、あのうつけ者の腹を苦しめてやんな！			釣り道楽、雲海を目指す							
……領民はみな、あなたのご帰還をお待ちしています。もう少しだけ耐え忍ぶよう、伝えておきましょう。			……領民はみな、あなたのご帰還をお待ちしています。もう少しだけ耐え忍ぶよう、伝えておきましょう。			釣り道楽、雲海を目指す							
さて、堅苦しい話はここまでだ。バルーンパファーを釣ったときの話を聞かせてくれ！			さて、堅苦しい話はここまでだ。バルーンパファーを釣ったときの話を聞かせてくれ！			釣り道楽、雲海を目指す							
……へえ！釣り上げた礼に、もっと変わった場所での釣りを教わったって？お前さんのことだから、挑戦するつもりなんだろうな。			……へえ！釣り上げた礼に、もっと変わった場所での釣りを教わったって？お前さんのことだから、挑戦するつもりなんだろうな。			釣り道楽、雲海を目指す							
「バイオレットワーム」なら、いくつかあるから持ってきな。釣り餌に使えそうなモノは、片っ端から集めるのが趣味でね。さすがに「魔泉」の場所はお手上げだ……自力で調べてくれよ？			「バイオレットワーム」なら、いくつかあるから持ってきな。釣り餌に使えそうなモノは、片っ端から集めるのが趣味でね。さすがに「魔泉」の場所はお手上げだ……自力で調べてくれよ？			釣り道楽、雲海を目指す							
