バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
アリゼーと話す			アリゼーと話す			高潔なガレアン							
アリゼーと再度話す			アリゼーと再度話す			高潔なガレアン							
リキニアたちの手掛かりを探す			リキニアたちの手掛かりを探す			高潔なガレアン							
リキニアを探す			リキニアを探す			高潔なガレアン							
アリゼーと話す			アリゼーと話す			高潔なガレアン							
あのまま東屋で焚火にあたっていてもらうわけにもいかないし、青燐水、わけてもらえるといいわね。			あのまま東屋で焚火にあたっていてもらうわけにもいかないし、青燐水、わけてもらえるといいわね。			高潔なガレアン							
うん？　さっそく青燐水の取引をしたいのか？			うん？　さっそく青燐水の取引をしたいのか？			高潔なガレアン							
嘘だろ、「臣の褒賞」の奴らが、そんなに簡単に派遣団を受け入れて、頼ってきたってのか！？			嘘だろ、「臣の褒賞」の奴らが、そんなに簡単に派遣団を受け入れて、頼ってきたってのか！？			高潔なガレアン							
あの生粋のガレアン人たちが、なぁ……。まあ、リキニアには病気の妹がいるそうだし、背に腹は代えられなかったってことか。			あの生粋のガレアン人たちが、なぁ……。まあ、リキニアには病気の妹がいるそうだし、背に腹は代えられなかったってことか。			高潔なガレアン							
病気の妹……？あそこにいたのは、リキニアと、大人の男性が3人だったけど……。			病気の妹……？あそこにいたのは、リキニアと、大人の男性が3人だったけど……。			高潔なガレアン							
とすると、ついに亡くなっちまったのかな……。この環境じゃ、そうそう治療もできなかっただろうし……。			とすると、ついに亡くなっちまったのかな……。この環境じゃ、そうそう治療もできなかっただろうし……。			高潔なガレアン							
ひとまず、青燐水はわけてやるよ。生憎、すぐに渡せるのはボトル1本分程度だが、ひとまず暖房を動かすくらいはできるはずだ。			ひとまず、青燐水はわけてやるよ。生憎、すぐに渡せるのはボトル1本分程度だが、ひとまず暖房を動かすくらいはできるはずだ。			高潔なガレアン							
派遣団への紹介料ってことで、お代も結構。さ、持っていってやってくれ。			派遣団への紹介料ってことで、お代も結構。さ、持っていってやってくれ。			高潔なガレアン							
秘密にされたままの妹……。なんだか嫌な予感がするわ、急いで戻りましょう！			秘密にされたままの妹……。なんだか嫌な予感がするわ、急いで戻りましょう！			高潔なガレアン							
前に聞いた話だと、リキニアの妹は、重い持病があったそうだ。確か、リキニアの3歳下って言ってたかな……。			前に聞いた話だと、リキニアの妹は、重い持病があったそうだ。確か、リキニアの3歳下って言ってたかな……。			高潔なガレアン							
Forename……。何か変よ、静かすぎる……。			Forename……。何か変よ、静かすぎる……。			高潔なガレアン							
東屋にも、誰もいないわ。アルフィノが残って、手当てを続けてたはずなのに……。			東屋にも、誰もいないわ。アルフィノが残って、手当てを続けてたはずなのに……。			高潔なガレアン							
