あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
感性の優れたヤンターなら、真面目で手堅いヒュードにとって、きっといい相方になれるはずだ！冒険者さんがいてくれたおかげだよ、どうもありがとう！			感性の優れたヤンターなら、真面目で手堅いヒュードにとって、きっといい相方になれるはずだ！冒険者さんがいてくれたおかげだよ、どうもありがとう！			絶対に死なない奴							
テイルフェザーのルーパルは、キ・ヤンターの新たな相方候補を思いついたようだ。			テイルフェザーのルーパルは、キ・ヤンターの新たな相方候補を思いついたようだ。			三度目の正直							
ルーパルは、キ・ヤンターに、熟練の猟師を紹介するつもりのようだ。高地ドラヴァニアのテイルフェザーにいる「ヒュード」と話そう。			ルーパルは、キ・ヤンターに、熟練の猟師を紹介するつもりのようだ。高地ドラヴァニアのテイルフェザーにいる「ヒュード」と話そう。			三度目の正直							
ヒュードは、キ・ヤンターの相方になるつもりはないようだ。テイルフェザーの「キ・ヤンター」と話そう。			ヒュードは、キ・ヤンターの相方になるつもりはないようだ。テイルフェザーの「キ・ヤンター」と話そう。			三度目の正直							
キ・ヤンターは、ヒュードに気に入ってもらうため、情報を集めたいようだ。テイルフェザーで、ヒュードの好きなものについて、情報収集しよう。			キ・ヤンターは、ヒュードに気に入ってもらうため、情報を集めたいようだ。テイルフェザーで、ヒュードの好きなものについて、情報収集しよう。			三度目の正直							
ヒュードの情報を集めた。彼はよく、ドラヴァニアリリーという花を手にしているらしい。テイルフェザーの「キ・ヤンター」に報告しよう。			ヒュードの情報を集めた。彼はよく、ドラヴァニアリリーという花を手にしているらしい。テイルフェザーの「キ・ヤンター」に報告しよう。			三度目の正直							
キ・ヤンターは、ヒュードにドラヴァニアリリーを贈りたいという。テイルフェザー北東のキャンプ付近で、「キ・ヤンター」と合流しよう。			キ・ヤンターは、ヒュードにドラヴァニアリリーを贈りたいという。テイルフェザー北東のキャンプ付近で、「キ・ヤンター」と合流しよう。			三度目の正直							
キ・ヤンターと合流した。めあての花は見つかったものの、彼女は力加減が下手でうまく摘む自信がないという。キ・ヤンターの代わりに「ドラヴァニアリリー」を摘んであげよう。			キ・ヤンターと合流した。めあての花は見つかったものの、彼女は力加減が下手でうまく摘む自信がないという。キ・ヤンターの代わりに「ドラヴァニアリリー」を摘んであげよう。			三度目の正直							
ドラヴァニアリリーを摘んだ。「キ・ヤンター」に「ドラヴァニアリリー」を渡そう。			ドラヴァニアリリーを摘んだ。「キ・ヤンター」に「ドラヴァニアリリー」を渡そう。			三度目の正直							
キ・ヤンターは、ドラヴァニアリリーを持ってヒュードの元に向かった。テイルフェザーにいる「キ・ヤンター」と再び合流し、結果を確かめよう。			キ・ヤンターは、ドラヴァニアリリーを持ってヒュードの元に向かった。テイルフェザーにいる「キ・ヤンター」と再び合流し、結果を確かめよう。			三度目の正直							
キ・ヤンターはヒュードにドラヴァニアリリーを渡そうとしたが、ヒュードは彼女の行動が気に入らなかったようだ。一方、キ・ヤンターはまだ諦めていないようだが……。			キ・ヤンターはヒュードにドラヴァニアリリーを渡そうとしたが、ヒュードは彼女の行動が気に入らなかったようだ。一方、キ・ヤンターはまだ諦めていないようだが……。			三度目の正直							
ヒュードと話す			ヒュードと話す			三度目の正直							
キ・ヤンターと話す			キ・ヤンターと話す			三度目の正直							
ヒュードの情報を集める			ヒュードの情報を集める			三度目の正直							
キ・ヤンターに報告			キ・ヤンターに報告			三度目の正直							
キ・ヤンターと合流			キ・ヤンターと合流			三度目の正直							
ドラヴァニアリリーを入手			ドラヴァニアリリーを入手			三度目の正直							
キ・ヤンターにドラヴァニアリリーを渡す			キ・ヤンターにドラヴァニアリリーを渡す			三度目の正直							
キ・ヤンターと合流			キ・ヤンターと合流			三度目の正直							
次は、いい人だといいなあ……。			次は、いい人だといいなあ……。			三度目の正直							
