パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
だが、偽神獣を仕留めることは叶わず、逃亡を許してしまってな。いつ再び姿を現し、民を襲うともしれぬことを考えれば、一刻も早く探しだして、討たねばならん。			だが、偽神獣を仕留めることは叶わず、逃亡を許してしまってな。いつ再び姿を現し、民を襲うともしれぬことを考えれば、一刻も早く探しだして、討たねばならん。			自由が生みしアラミゴの獣							
ところが、サベネア島での事例と同様に、偽神獣の出現以降、獣に転じる者が現れ始めている。その対応に追われ、偽神獣の探索もままならぬ状況なのだ。			ところが、サベネア島での事例と同様に、偽神獣の出現以降、獣に転じる者が現れ始めている。その対応に追われ、偽神獣の探索もままならぬ状況なのだ。			自由が生みしアラミゴの獣							
何と言う？			何と言う？			自由が生みしアラミゴの獣							
なぜ偽神獣だと断定できた？			なぜ偽神獣だと断定できた？			自由が生みしアラミゴの獣							
獣化の目撃者がいるのか？			獣化の目撃者がいるのか？			自由が生みしアラミゴの獣							
獣化の瞬間を見たという、複数の目撃証言があるのだ。アラミガン・クォーターの市街を歩いていた男が、突如として異形の獣に転じた……とな。			獣化の瞬間を見たという、複数の目撃証言があるのだ。アラミガン・クォーターの市街を歩いていた男が、突如として異形の獣に転じた……とな。			自由が生みしアラミゴの獣							
だが、その正体となると判然としない。ハイランダーの年若い青年だったようだが、誰ひとりとして、その素性を知る者はいなかったのだ。			だが、その正体となると判然としない。ハイランダーの年若い青年だったようだが、誰ひとりとして、その素性を知る者はいなかったのだ。			自由が生みしアラミゴの獣							
偽神獣となったのは他国の者か、あるいは……。			偽神獣となったのは他国の者か、あるいは……。			自由が生みしアラミゴの獣							
なにはともあれ、獣化は「絶望」から引き起こされるという。だとすれば、国にはびこる絶望のもとを絶たねば、根本的解決には至らぬということになる。			なにはともあれ、獣化は「絶望」から引き起こされるという。だとすれば、国にはびこる絶望のもとを絶たねば、根本的解決には至らぬということになる。			自由が生みしアラミゴの獣							
彼らが何に絶望していたのか……それを知れば、これ以上の獣化を防ぐことはもちろん、偽神獣の行動原理を予測し、足取りを掴めるやもしれん。			彼らが何に絶望していたのか……それを知れば、これ以上の獣化を防ぐことはもちろん、偽神獣の行動原理を予測し、足取りを掴めるやもしれん。			自由が生みしアラミゴの獣							
