モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
(-？？？？-)も、もしや……あなた方は、以前私を助けてくださった……！			(-？？？？-)も、もしや……あなた方は、以前私を助けてくださった……！			高き場所より見る景色							
君は確か……画家のトリストル！ユールモアに入るために、知恵と絵筆を貸してくれた……！			君は確か……画家のトリストル！ユールモアに入るために、知恵と絵筆を貸してくれた……！			高き場所より見る景色							
ええ、ええ！　そのトリストルです。ユールモアに向かったおふたりを、ずっと案じておりましたが、まさかここで再会できるだなんて……！			ええ、ええ！　そのトリストルです。ユールモアに向かったおふたりを、ずっと案じておりましたが、まさかここで再会できるだなんて……！			高き場所より見る景色							
それは、こちらのセリフだよ。君はここに住んでいるのかい？この村は、いったい……？			それは、こちらのセリフだよ。君はここに住んでいるのかい？この村は、いったい……？			高き場所より見る景色							
ここは「アミティー」の村……ユールモアから追放されながら、かろうじて生き長らえた者が、ひっそりと身を寄せ合って暮らす場所です。			ここは「アミティー」の村……ユールモアから追放されながら、かろうじて生き長らえた者が、ひっそりと身を寄せ合って暮らす場所です。			高き場所より見る景色							
あなた方に助けられたあと、私は行く当てもなく、コルシア島の荒れ野をさまよっていたのですが……途中、「ある人」に見つけていただいたのです。			あなた方に助けられたあと、私は行く当てもなく、コルシア島の荒れ野をさまよっていたのですが……途中、「ある人」に見つけていただいたのです。			高き場所より見る景色							
そして、彼の知る「秘密の抜け道」を通って、ここへ……。以来、仲間とともに静かに暮らしておりました。			そして、彼の知る「秘密の抜け道」を通って、ここへ……。以来、仲間とともに静かに暮らしておりました。			高き場所より見る景色							
しかし、唐突にグルグ火山が浮き上がったかと思ったら、今度は、大昇降機まで動き出す音がして……。			しかし、唐突にグルグ火山が浮き上がったかと思ったら、今度は、大昇降機まで動き出す音がして……。			高き場所より見る景色							
ユールモアからの追手が来たと思って、偵察に出たり、隠れたりした……ってところかしら？			ユールモアからの追手が来たと思って、偵察に出たり、隠れたりした……ってところかしら？			高き場所より見る景色							
はい……。しかし、何やら事情は異なっていた様子。もしよければ、お話を聞かせてはいただけませんか？			はい……。しかし、何やら事情は異なっていた様子。もしよければ、お話を聞かせてはいただけませんか？			高き場所より見る景色							
