レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
……さっそく属性変換機構をエンタープライズに組みこむとしよう。この船を本当の姿に蘇らせるために……。			……さっそく属性変換機構をエンタープライズに組みこむとしよう。この船を本当の姿に蘇らせるために……。			暴虐の嵐神ガルーダ							
これで直った……はずだ。			これで直った……はずだ。			暴虐の嵐神ガルーダ							
これが「エンタープライズ」の本当の姿か！			これが「エンタープライズ」の本当の姿か！			暴虐の嵐神ガルーダ							
目指すは、クルザス北方……。蛮神「ガルーダ」の祭壇、「ハウリングアイ石塔群」だ！			目指すは、クルザス北方……。蛮神「ガルーダ」の祭壇、「ハウリングアイ石塔群」だ！			暴虐の嵐神ガルーダ							
エンタープライズ、発進！			エンタープライズ、発進！			暴虐の嵐神ガルーダ							
……ふぅ。			……ふぅ。			暴虐の嵐神ガルーダ							
……ッ！？			……ッ！？			暴虐の嵐神ガルーダ							
そうだ……俺は、かつてこの船で……。エンタープライズで……大空を駆けていた。			そうだ……俺は、かつてこの船で……。エンタープライズで……大空を駆けていた。			暴虐の嵐神ガルーダ							
お前たちのような、勇敢な冒険者を乗せて……。			お前たちのような、勇敢な冒険者を乗せて……。			暴虐の嵐神ガルーダ							
このイカしたゴーグルは、いつから着けていたんだっけな。			このイカしたゴーグルは、いつから着けていたんだっけな。			暴虐の嵐神ガルーダ							
そういえば、ガキの頃は、もっと「坊ちゃん」みてえな格好してたっけ……。			そういえば、ガキの頃は、もっと「坊ちゃん」みてえな格好してたっけ……。			暴虐の嵐神ガルーダ							
みんなに褒められるのが嬉しかったな。親父に近づけた気がして。			みんなに褒められるのが嬉しかったな。親父に近づけた気がして。			暴虐の嵐神ガルーダ							
俺は帝国……「ガレマール帝国」で生まれたんだ。			俺は帝国……「ガレマール帝国」で生まれたんだ。			暴虐の嵐神ガルーダ							
そして、親父の背中を追うように、魔導技術を学び、機工師になった。			そして、親父の背中を追うように、魔導技術を学び、機工師になった。			暴虐の嵐神ガルーダ							
いつ頃からだったかな、親父と……。ミド・ナン・ガーロンドと話さなくなったのは。			いつ頃からだったかな、親父と……。ミド・ナン・ガーロンドと話さなくなったのは。			暴虐の嵐神ガルーダ							
そうか……。野郎が「メテオ計劃(けいかく)」にのめり込みはじめてからだ……。			そうか……。野郎が「メテオ計劃(けいかく)」にのめり込みはじめてからだ……。			暴虐の嵐神ガルーダ							
そういや、この頃からか。アイツが俺の後見人を買ってくれたのは。			そういや、この頃からか。アイツが俺の後見人を買ってくれたのは。			暴虐の嵐神ガルーダ							
しかし、結局はアイツも……。ガイウス・ヴァン・バエサルも侵略者に成りはて、失望した俺は帝国から逃げ出した。			しかし、結局はアイツも……。ガイウス・ヴァン・バエサルも侵略者に成りはて、失望した俺は帝国から逃げ出した。			暴虐の嵐神ガルーダ							
そして、エオルゼアに渡り、ガーロンド・アイアンワークスを立ち上げた。			そして、エオルゼアに渡り、ガーロンド・アイアンワークスを立ち上げた。			暴虐の嵐神ガルーダ							
そうだったな、この時からだ。このゴーグルを着けるようになったのは。			そうだったな、この時からだ。このゴーグルを着けるようになったのは。			暴虐の嵐神ガルーダ							
俺はエオルゼアで、さまざまな人々、冒険者と出会い、親父を狂わせた「メテオ計劃」と戦った。			俺はエオルゼアで、さまざまな人々、冒険者と出会い、親父を狂わせた「メテオ計劃」と戦った。			暴虐の嵐神ガルーダ							
俺は証明したかった。技術が、自由のためにあるってことを。			俺は証明したかった。技術が、自由のためにあるってことを。			暴虐の嵐神ガルーダ							
そして、それを認めさせたかった……。救いたかったんだな、俺は、親父を。			そして、それを認めさせたかった……。救いたかったんだな、俺は、親父を。			暴虐の嵐神ガルーダ							
