アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
もうすぐ、ウンザンさんとアンズが来るはずだ。渾身の寿司、気に入ってくれるといいんだがな……。			もうすぐ、ウンザンさんとアンズが来るはずだ。渾身の寿司、気に入ってくれるといいんだがな……。			本場のレシピ							
まったく、懲りもせずに……。それも、エオルゼアの者が握った寿司なんぞ……			まったく、懲りもせずに……。それも、エオルゼアの者が握った寿司なんぞ……			本場のレシピ							
美味しそうじゃないですか。お父様、せっかくだから、いただきましょう。			美味しそうじゃないですか。お父様、せっかくだから、いただきましょう。			本場のレシピ							
Forenameさんの握った寿司は、素晴らしい。さすがに本場の一流職人と比べれば、素材の面で一歩劣るが、エオルゼアでこの味を再現するとは、見事と言わざるをえん……。			Forenameさんの握った寿司は、素晴らしい。さすがに本場の一流職人と比べれば、素材の面で一歩劣るが、エオルゼアでこの味を再現するとは、見事と言わざるをえん……。			本場のレシピ							
だが、ラルフの握った寿司は、まるでダメだ……。いかにも、見よう見まねで作った代物で、客に出せる水準ではない。			だが、ラルフの握った寿司は、まるでダメだ……。いかにも、見よう見まねで作った代物で、客に出せる水準ではない。			本場のレシピ							
しかし、それは当然のこと……。天才でもなければ、寿司とはイロハを学んだところで、すぐに握れるような、生半可なものではないのだ。			しかし、それは当然のこと……。天才でもなければ、寿司とはイロハを学んだところで、すぐに握れるような、生半可なものではないのだ。			本場のレシピ							
Forenameさんのような、天才を目指す必要はない。お前の寿司はまるで、おにぎりのように素朴だが、心がこもっていて……私は嫌いではないぞ。			Forenameさんのような、天才を目指す必要はない。お前の寿司はまるで、おにぎりのように素朴だが、心がこもっていて……私は嫌いではないぞ。			本場のレシピ							
そ、それは……俺を認めてくれるってことですか？じゃあ、アンズとの結婚も……。			そ、それは……俺を認めてくれるってことですか？じゃあ、アンズとの結婚も……。			本場のレシピ							
認めん……！勘違いしているようだが、私が娘との結婚を許さなかったのは、お前が冒険者だったからでも、調理師として半端だからでもない。			認めん……！勘違いしているようだが、私が娘との結婚を許さなかったのは、お前が冒険者だったからでも、調理師として半端だからでもない。			本場のレシピ							
本当の理由は……お前が、アラミゴ出身のハイランダー族だからだ。			本当の理由は……お前が、アラミゴ出身のハイランダー族だからだ。			本場のレシピ							
私の一族は先祖代々、ヤンサ人の血を繋いできた。ゆえに、我が一人娘にも、その血統の者と結婚してもらう。これは、お前の落ち度ではなく、仕方のないことなのだ。			私の一族は先祖代々、ヤンサ人の血を繋いできた。ゆえに、我が一人娘にも、その血統の者と結婚してもらう。これは、お前の落ち度ではなく、仕方のないことなのだ。			本場のレシピ							
東方料理は、ほかの文化圏から隔離され、純粋さを守れたからこそ、独自の発展をして今に至る。私の一族もそうありたいのだよ……どうか、わかってくれ。			東方料理は、ほかの文化圏から隔離され、純粋さを守れたからこそ、独自の発展をして今に至る。私の一族もそうありたいのだよ……どうか、わかってくれ。			本場のレシピ							
お父様、それは酷いわ！もう、結婚を認めてくれなくて結構！いっそ……私のことを勘当してください！			お父様、それは酷いわ！もう、結婚を認めてくれなくて結構！いっそ……私のことを勘当してください！			本場のレシピ							
