トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
ゴールデンスターアイスクリームを受け取った。オパールスプリングまで運搬して「クルル」に届けよう。※運搬状態は、一定時間が過ぎると効果を失います。			ゴールデンスターアイスクリームを受け取った。オパールスプリングまで運搬して「クルル」に届けよう。※運搬状態は、一定時間が過ぎると効果を失います。			味がしなくたって、あなたがいれば							
無事にアイスクリームをクルルたちに届けた。レイノード・ファイア付近にいる「クルル」と話そう。			無事にアイスクリームをクルルたちに届けた。レイノード・ファイア付近にいる「クルル」と話そう。			味がしなくたって、あなたがいれば							
クルルは冒険者たちに感謝した。届けたアイスクリームとグ・ラハ・ティアの計らいで、クルルと両親の距離は縮まったようだ。			クルルは冒険者たちに感謝した。届けたアイスクリームとグ・ラハ・ティアの計らいで、クルルと両親の距離は縮まったようだ。			味がしなくたって、あなたがいれば							
クルルと話す			クルルと話す			味がしなくたって、あなたがいれば							
グ・ラハ・ティアと話す			グ・ラハ・ティアと話す			味がしなくたって、あなたがいれば							
レイノード・ファイア付近で情報を集める			レイノード・ファイア付近で情報を集める			味がしなくたって、あなたがいれば							
ウクラマトと話す			ウクラマトと話す			味がしなくたって、あなたがいれば							
アイスクリーム屋の店員と話す			アイスクリーム屋の店員と話す			味がしなくたって、あなたがいれば							
クルルにゴールデンスターアイスクリームを渡す			クルルにゴールデンスターアイスクリームを渡す			味がしなくたって、あなたがいれば							
クルルと話す			クルルと話す			味がしなくたって、あなたがいれば							
もしかして、とは思っていたが……本当に再会が叶うとは……！			もしかして、とは思っていたが……本当に再会が叶うとは……！			味がしなくたって、あなたがいれば							
「未練」がある者には再会の奇跡が起こる、か……。なんにせよ、クルルの意思を尊重しようぜ。			「未練」がある者には再会の奇跡が起こる、か……。なんにせよ、クルルの意思を尊重しようぜ。			味がしなくたって、あなたがいれば							
ふう……。どうにか、少し落ち着いてきたわ。			ふう……。どうにか、少し落ち着いてきたわ。			味がしなくたって、あなたがいれば							
両親がプリザベーションの元研究者だって聞いてから、覚悟してここまで来たつもりだったんだけど……いざ両親の永久人を前にしたら動揺しちゃって……。			両親がプリザベーションの元研究者だって聞いてから、覚悟してここまで来たつもりだったんだけど……いざ両親の永久人を前にしたら動揺しちゃって……。			味がしなくたって、あなたがいれば							
ふたりと別れたのは、私がまだ赤ん坊のころだから当然だけど記憶はないし、正直に言うと、どう接していいのかわからなくって……。			ふたりと別れたのは、私がまだ赤ん坊のころだから当然だけど記憶はないし、正直に言うと、どう接していいのかわからなくって……。			味がしなくたって、あなたがいれば							
焦らなくていいさ。ただでさえ、ここまでいろんなことがありすぎたんだ。			焦らなくていいさ。ただでさえ、ここまでいろんなことがありすぎたんだ。			味がしなくたって、あなたがいれば							
