聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
ドミニアクに報告した。上位の眷属をおびき出すことには成功したが、はたして次は上位のドラゴン族をおびき出すことができるだろうか？			ドミニアクに報告した。上位の眷属をおびき出すことには成功したが、はたして次は上位のドラゴン族をおびき出すことができるだろうか？			竜の決死圏							
サントレルモと合流			サントレルモと合流			竜の決死圏							
聖フィネア連隊の露営地の北西で上位の眷属を討伐			聖フィネア連隊の露営地の北西で上位の眷属を討伐			竜の決死圏							
サントレルモに報告			サントレルモに報告			竜の決死圏							
ドミニアクに報告			ドミニアクに報告			竜の決死圏							
さあ、作戦を次の段階へと進めよう。すでに、サントレルモたちが準備に着手しているはずだ。			さあ、作戦を次の段階へと進めよう。すでに、サントレルモたちが準備に着手しているはずだ。			竜の決死圏							
露営地の北にある崖の上で、「サントレルモ」と合流し、力を貸してやってほしい。よろしく頼むぞ、冒険者殿！			露営地の北にある崖の上で、「サントレルモ」と合流し、力を貸してやってほしい。よろしく頼むぞ、冒険者殿！			竜の決死圏							
露営地の北にある崖の上で、「サントレルモ」と合流し、力を貸してやってほしい。よろしく頼むぞ、冒険者殿！			露営地の北にある崖の上で、「サントレルモ」と合流し、力を貸してやってほしい。よろしく頼むぞ、冒険者殿！			竜の決死圏							
待ってたよ、冒険者さん。どうやら君の仕入れた情報は、確かだったらしい。上位の眷属が現れ、死体を持ち去っていったんだ！			待ってたよ、冒険者さん。どうやら君の仕入れた情報は、確かだったらしい。上位の眷属が現れ、死体を持ち去っていったんだ！			竜の決死圏							
現れた上位の眷属は、部下を蹴散らし、露営地から見て北西の崖下へと逃げ去ってしまった。僕は負傷者の救出に向かう……君は眷属を追跡して倒してくれ！			現れた上位の眷属は、部下を蹴散らし、露営地から見て北西の崖下へと逃げ去ってしまった。僕は負傷者の救出に向かう……君は眷属を追跡して倒してくれ！			竜の決死圏							
現れた上位の眷属は、部下を蹴散らし、露営地から見て北西の崖下へと逃げ去ってしまった。僕は負傷者の救出に向かう……君は眷属を追跡して倒してくれ！			現れた上位の眷属は、部下を蹴散らし、露営地から見て北西の崖下へと逃げ去ってしまった。僕は負傷者の救出に向かう……君は眷属を追跡して倒してくれ！			竜の決死圏							
お疲れさま、結果は……聞くまでもないね。死体を回収して、目立つ場所にさらしておくよ。			お疲れさま、結果は……聞くまでもないね。死体を回収して、目立つ場所にさらしておくよ。			竜の決死圏							
それにしても、ドラゴン族は不思議だね。下位の眷属の死体を回収して、何の意味があるんだ？死体に……何かの利用価値があるのかな！？			それにしても、ドラゴン族は不思議だね。下位の眷属の死体を回収して、何の意味があるんだ？死体に……何かの利用価値があるのかな！？			竜の決死圏							
(-サントレルモの部下-)……ある程度知能がある動物は、感情を持つと聞きます。純粋に、仲間の死体を野ざらしにすることが、しのびなかったのではないでしょうか。			(-サントレルモの部下-)……ある程度知能がある動物は、感情を持つと聞きます。純粋に、仲間の死体を野ざらしにすることが、しのびなかったのではないでしょうか。			竜の決死圏							
ははっ、君は面白いことを言うね！まるで、感情を持つ知的生命体はすべて、仲間に対して思いやりを持っているみたいな言い方だ！			ははっ、君は面白いことを言うね！まるで、感情を持つ知的生命体はすべて、仲間に対して思いやりを持っているみたいな言い方だ！			竜の決死圏							
ドラゴン族も人も同じことさ。上位の者が下位の者を利用するとき、思いやりなんてない。だから、君の説の前提は……っと。			ドラゴン族も人も同じことさ。上位の者が下位の者を利用するとき、思いやりなんてない。だから、君の説の前提は……っと。			竜の決死圏							
……おしゃべりがすぎたね。僕たちは死体を回収して、次の準備に向かう。「ドミニアク」さんへの報告は頼んだよ。			……おしゃべりがすぎたね。僕たちは死体を回収して、次の準備に向かう。「ドミニアク」さんへの報告は頼んだよ。			竜の決死圏							
僕たちは死体を回収して、次の準備に向かう。「ドミニアク」さんへの報告は頼んだよ。			僕たちは死体を回収して、次の準備に向かう。「ドミニアク」さんへの報告は頼んだよ。			竜の決死圏							
