クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
ジオットは、冒険者が視た過去をもとに、古の大再生魔法とラミットの妹について調べてみるという。ジオットが酒に呑まれず調査を完遂させると信じて、冒険者は修行に励んでおこう。※いずれかのHEALERジョブのレベルが78以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			ジオットは、冒険者が視た過去をもとに、古の大再生魔法とラミットの妹について調べてみるという。ジオットが酒に呑まれず調査を完遂させると信じて、冒険者は修行に励んでおこう。※いずれかのHEALERジョブのレベルが78以上になると、彷徨う階段亭のジオットから次のHEALERロールクエストを受注することができます。			古の大再生魔法							
スリザーバウのジオットと合流			スリザーバウのジオットと合流			古の大再生魔法							
指定地点で見渡し、罪喰いを討伐			指定地点で見渡し、罪喰いを討伐			古の大再生魔法							
指定地点で見渡し、罪喰いを更に討伐			指定地点で見渡し、罪喰いを更に討伐			古の大再生魔法							
ジオットと合流			ジオットと合流			古の大再生魔法							
彷徨う階段亭のジオットと話す			彷徨う階段亭のジオットと話す			古の大再生魔法							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「イキス・マヤエの森」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「イキス・マヤエの森」を完了する必要があります。			古の大再生魔法							
ング、ング、ング……プハァ……。			ング、ング、ング……プハァ……。			古の大再生魔法							
ラリホー！我が相棒、Forenameよ！またぞろ、真面目に生きておるようじゃの！			ラリホー！我が相棒、Forenameよ！またぞろ、真面目に生きておるようじゃの！			古の大再生魔法							
ワシはと言えば、今日も今日とて「彷徨う階段亭」で、酒をかっ喰らっておるぞい！			ワシはと言えば、今日も今日とて「彷徨う階段亭」で、酒をかっ喰らっておるぞい！			古の大再生魔法							
……仕方ないじゃろう？調べ物をしようにも、モーレンとかいう男に、博物陳列館への出入りを禁じられてしまったんじゃから……。			……仕方ないじゃろう？調べ物をしようにも、モーレンとかいう男に、博物陳列館への出入りを禁じられてしまったんじゃから……。			古の大再生魔法							
ちっとばかり、手元が狂って、蜂蜜酒を本にひっかけたからといって、烈火のごとく怒り狂いおってからに、これだから頭でっかちは……			ちっとばかり、手元が狂って、蜂蜜酒を本にひっかけたからといって、烈火のごとく怒り狂いおってからに、これだから頭でっかちは……			古の大再生魔法							
