潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
船を呼び寄せていたローレライを倒した。ミゼリー号に戻り、再びクガネにむけて出港しよう。一度エオルゼアに帰還した場合は、リムサ・ロミンサのフェリードックにいる「百鬼夜行の甲板員」に話しかけると、再度乗船できるようだ。			船を呼び寄せていたローレライを倒した。ミゼリー号に戻り、再びクガネにむけて出港しよう。一度エオルゼアに帰還した場合は、リムサ・ロミンサのフェリードックにいる「百鬼夜行の甲板員」に話しかけると、再度乗船できるようだ。			大洋を征く							
航海を再開し、無事にひんがしの国のクガネに到着した。クガネの第二波止場にいる「カルヴァラン」と話そう。一度エオルゼアに帰還した場合は、リムサ・ロミンサのフェリードックにいる「百鬼夜行の甲板員」に話しかけると、クガネに移動できるようだ。			航海を再開し、無事にひんがしの国のクガネに到着した。クガネの第二波止場にいる「カルヴァラン」と話そう。一度エオルゼアに帰還した場合は、リムサ・ロミンサのフェリードックにいる「百鬼夜行の甲板員」に話しかけると、クガネに移動できるようだ。			大洋を征く							
予想外の冒険はあったものの、難破することなく入港することができ、カルヴァランも一安心したようだ。			予想外の冒険はあったものの、難破することなく入港することができ、カルヴァランも一安心したようだ。			大洋を征く							
リムサ・ロミンサのアルフィノと話す			リムサ・ロミンサのアルフィノと話す			大洋を征く							
百鬼夜行の甲板員と話す			百鬼夜行の甲板員と話す			大洋を征く							
カルヴァランと話す			カルヴァランと話す			大洋を征く							
「漂流海域 セイレーン海」を攻略			「漂流海域 セイレーン海」を攻略			大洋を征く							
カルヴァランと話す			カルヴァランと話す			大洋を征く							
ともかく、ドマ出身の人たちに、直接、話を聞くことができたのはよかったよ。			ともかく、ドマ出身の人たちに、直接、話を聞くことができたのはよかったよ。			大洋を征く							
情報収集は、この辺りで切り上げて、そろそろ「リムサ・ロミンサ」に向かおうか。確か「フェリードック」のあたりで集合だったよね？			情報収集は、この辺りで切り上げて、そろそろ「リムサ・ロミンサ」に向かおうか。確か「フェリードック」のあたりで集合だったよね？			大洋を征く							
こういうときのタタルって、頼りになるよね。			こういうときのタタルって、頼りになるよね。			大洋を征く							
補給なくして勝利なし、これ戦の常道なり。まさにタタルは、「暁の血盟」の生命線だわ。			補給なくして勝利なし、これ戦の常道なり。まさにタタルは、「暁の血盟」の生命線だわ。			大洋を征く							
衣服から食料まで、長旅に必要な品々は、バッチリ買いそろえておきまっした！このタタルが「暁」初の東方遠征を成功に導きまっす！			衣服から食料まで、長旅に必要な品々は、バッチリ買いそろえておきまっした！このタタルが「暁」初の東方遠征を成功に導きまっす！			大洋を征く							
俺たちの船の名は「ミゼリー号」。目標と定めた船には、必ず痛みをもたらす最強の船だ。この航海、誰にも邪魔はさせやしねぇよ。			俺たちの船の名は「ミゼリー号」。目標と定めた船には、必ず痛みをもたらす最強の船だ。この航海、誰にも邪魔はさせやしねぇよ。			大洋を征く							
