「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
奴は配下の洞穴団に指示して、硫黄や硝石、青燐水などを大量に集めている。……いずれも、ボムの製造や育成に欠かせない素材だ。			奴は配下の洞穴団に指示して、硫黄や硝石、青燐水などを大量に集めている。……いずれも、ボムの製造や育成に欠かせない素材だ。			鉱山に咲く花							
おそらく、例の「新型錬金釜」を可動させ、大量のボムを生み出し、総攻撃に出るつもりだろうな。これが「計画」ってやつの正体だろうさ。			おそらく、例の「新型錬金釜」を可動させ、大量のボムを生み出し、総攻撃に出るつもりだろうな。これが「計画」ってやつの正体だろうさ。			鉱山に咲く花							
そこで、お前たちには引き続き、ゾ・ガに対する嫌がらせを続け、時間を稼いでほしい。俺たちはその間に態勢を整え、いざという時に備えるからよ。			そこで、お前たちには引き続き、ゾ・ガに対する嫌がらせを続け、時間を稼いでほしい。俺たちはその間に態勢を整え、いざという時に備えるからよ。			鉱山に咲く花							
ただでさえ、モグラ野郎どもには手を焼いてるってのに……。……奴らが新兵器を完成させたら、それこそ大ピンチだぜ。			ただでさえ、モグラ野郎どもには手を焼いてるってのに……。……奴らが新兵器を完成させたら、それこそ大ピンチだぜ。			鉱山に咲く花							
Forenameさん、どうでした？……なるほど、武装鉱山でそんな動きが……ということは、いよいよゾ・ガの奴らも本気ってことね。			Forenameさん、どうでした？……なるほど、武装鉱山でそんな動きが……ということは、いよいよゾ・ガの奴らも本気ってことね。			鉱山に咲く花							
そうとなれば、もう容赦はしないわ！これからも、エグい嫌がらせをして時間稼ぎ……いえ、ゾ・ガの「計画」を粉砕してやりましょうっ！			そうとなれば、もう容赦はしないわ！これからも、エグい嫌がらせをして時間稼ぎ……いえ、ゾ・ガの「計画」を粉砕してやりましょうっ！			鉱山に咲く花							
ぼ　ぼ　冒険者さーん！お願いしまーす　助けてくださーい！			ぼ　ぼ　冒険者さーん！お願いしまーす　助けてくださーい！			鉱山に咲く花							
……どうしたの？			……どうしたの？			鉱山に咲く花							
ビ・ビが……幼馴染のビ・ビが　ここにくるはずなのーにだけーど　もう半日たっても　こないーの！もしかしたーら……何かあったのかーも……。			ビ・ビが……幼馴染のビ・ビが　ここにくるはずなのーにだけーど　もう半日たっても　こないーの！もしかしたーら……何かあったのかーも……。			鉱山に咲く花							
ビ・ビ　確か「コボルド軍試掘地」に寄るって　いってーた！冒険者さーん　お願いしまーす！ビ・ビの無事を　確認してきーて！			ビ・ビ　確か「コボルド軍試掘地」に寄るって　いってーた！冒険者さーん　お願いしまーす！ビ・ビの無事を　確認してきーて！			鉱山に咲く花							
……お前がいけよ！			……お前がいけよ！			鉱山に咲く花							
でも、いい機会かも……。ビ・ビって娘は、ゾ・ガの「計画」について詳しいはず。彼女を探して、話を聞いてきてもらえませんか？			でも、いい機会かも……。ビ・ビって娘は、ゾ・ガの「計画」について詳しいはず。彼女を探して、話を聞いてきてもらえませんか？			鉱山に咲く花							
ビ・ビ　とてもシンパーイ……あ　いたた　いたたたーた　なんか　オナカイターイ！ツライーわ　いけなくてツライーわ。			ビ・ビ　とてもシンパーイ……あ　いたた　いたたたーた　なんか　オナカイターイ！ツライーわ　いけなくてツライーわ。			鉱山に咲く花							
彼女を捜して、ゾ・ガの「計画」についての情報を得ましょう。もしかしたら、奴の野望を挫く糸口になるかもしれませんし！			彼女を捜して、ゾ・ガの「計画」についての情報を得ましょう。もしかしたら、奴の野望を挫く糸口になるかもしれませんし！			鉱山に咲く花							
(-コボルド・アウトロー-)なんーだ　てぇーめぇ！やろうってのーか！？			(-コボルド・アウトロー-)なんーだ　てぇーめぇ！やろうってのーか！？			鉱山に咲く花							
(-コボルド・アウトロー-)いーま　いいとーこ　なんだーよ！邪魔すんーな！			(-コボルド・アウトロー-)いーま　いいとーこ　なんだーよ！邪魔すんーな！			鉱山に咲く花							
ああ　ありがとうございまし～た！……あっ　アナ～タは……ギ・グの採掘地にい～た　冒険者さんです～ね？			ああ　ありがとうございまし～た！……あっ　アナ～タは……ギ・グの採掘地にい～た　冒険者さんです～ね？			鉱山に咲く花							
試掘地のゲンバ～に　鉱物の確認に来たのです～が荒くれた鉱夫たち～に　絡まれてしま～って……。でもよか～った　コレが無事で……ってあれ？　あれあ～れ！？			試掘地のゲンバ～に　鉱物の確認に来たのです～が荒くれた鉱夫たち～に　絡まれてしま～って……。でもよか～った　コレが無事で……ってあれ？　あれあ～れ！？			鉱山に咲く花							
な　な～い　ないな～い！大切な「改良設計図」がな～い！どうしよ～う……アレを失くした～ら　ゾ・ガに殺され～る……。			な　な～い　ないな～い！大切な「改良設計図」がな～い！どうしよ～う……アレを失くした～ら　ゾ・ガに殺され～る……。			鉱山に咲く花							
