エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
5つも不戦勝を拾うとは……大きな幸運に恵まれましたな！なに、亡き先代も、よく言っておられました。「強運も実力の一部」と……！			5つも不戦勝を拾うとは……大きな幸運に恵まれましたな！なに、亡き先代も、よく言っておられました。「強運も実力の一部」と……！			主君と忠臣							
……「不運を言い訳にするな」ともね。人の上に立つ者に求められるのは、勝利という結果のみ。敗軍の将の釈明など、死者にはなんの意味もなさぬのだからって。			……「不運を言い訳にするな」ともね。人の上に立つ者に求められるのは、勝利という結果のみ。敗軍の将の釈明など、死者にはなんの意味もなさぬのだからって。			主君と忠臣							
お父様は、餓えた民に、隊の糧食を分けあたえたことで、横領の罪に問われ……騎士団を追われたわ。そのときすら黙って処罰を受け入れ、釈明は一切しなかった……。			お父様は、餓えた民に、隊の糧食を分けあたえたことで、横領の罪に問われ……騎士団を追われたわ。そのときすら黙って処罰を受け入れ、釈明は一切しなかった……。			主君と忠臣							
ロリス様が、ジェルヴァン家の再興を強く願う理由……それはやはり、先代の無念を晴らすためでございましょうか？			ロリス様が、ジェルヴァン家の再興を強く願う理由……それはやはり、先代の無念を晴らすためでございましょうか？			主君と忠臣							
故国の民を救うためよ。「お前の内に流れる高貴の血は、そのためにあるのだ」……お父様は、いつもそう言っていたもの。			故国の民を救うためよ。「お前の内に流れる高貴の血は、そのためにあるのだ」……お父様は、いつもそう言っていたもの。			主君と忠臣							
だから……上覧試合で優勝を勝ち取って、必ず騎士になってみせる。素晴らしい剣を提供してくれた、あなたのためにもね！			だから……上覧試合で優勝を勝ち取って、必ず騎士になってみせる。素晴らしい剣を提供してくれた、あなたのためにもね！			主君と忠臣							
宝飾店「エシュテム」のマルセルは、少しあわてているようだ。			宝飾店「エシュテム」のマルセルは、少しあわてているようだ。			心すれちがい							
スティル・リバーが訪れ、「妻のジュエルド・ピークには内密で」との条件で、妻と同じオルゴールを注文していった。夫妻は、おたがいに同じ品を贈ろうとしていることに、まだ気づいていない。ウルダハの彫金師ギルドにいる「セレンディピティー」に助言を求めよう。			スティル・リバーが訪れ、「妻のジュエルド・ピークには内密で」との条件で、妻と同じオルゴールを注文していった。夫妻は、おたがいに同じ品を贈ろうとしていることに、まだ気づいていない。ウルダハの彫金師ギルドにいる「セレンディピティー」に助言を求めよう。			心すれちがい							
オルゴールに使う流行り歌を作曲した、音楽家への会見を提案された。イシュガルドのアインハルト伯爵邸に向かい、門前に立つ衛兵に、「セレンディピティーの封書」を渡そう。			オルゴールに使う流行り歌を作曲した、音楽家への会見を提案された。イシュガルドのアインハルト伯爵邸に向かい、門前に立つ衛兵に、「セレンディピティーの封書」を渡そう。			心すれちがい							
衛兵のバーテロットによると、問題の楽曲を書いた音楽家ピエリヴァンは現在、アバラシア雲海に滞在しているという。アバラシア雲海のキャンプ・クラウドトップに向かい、「ピエリヴァン」と話そう。			衛兵のバーテロットによると、問題の楽曲を書いた音楽家ピエリヴァンは現在、アバラシア雲海に滞在しているという。アバラシア雲海のキャンプ・クラウドトップに向かい、「ピエリヴァン」と話そう。			心すれちがい							
ピエリヴァンの胸中には、問題を解決に導く妙案があるようだ。そのためには、彼を満足させる音色のオルゴールが必要だという。オルゴール製作に必須となる「ハードシルバーインゴット」を製作し、キャンプ・クラウドトップの「ピエリヴァン」に納品しよう。			ピエリヴァンの胸中には、問題を解決に導く妙案があるようだ。そのためには、彼を満足させる音色のオルゴールが必要だという。オルゴール製作に必須となる「ハードシルバーインゴット」を製作し、キャンプ・クラウドトップの「ピエリヴァン」に納品しよう。			心すれちがい							
