アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
アイメリクとオルシュファンに相談し、決闘裁判で潔白を証明することになった。イシュガルドの神聖裁判所にいる「オルシュファン」と話そう。									アイメリクとオルシュファンに相談し、決闘裁判で潔白を証明することになった。イシュガルドの神聖裁判所にいる「オルシュファン」と話そう。	蒼天の騎士
冒険者とアルフィノは、決闘裁判で蒼天騎士のグリノーらと戦い、勝利を収めて潔白を証明した。神聖裁判所にいる「オルシュファン」と話そう。									冒険者とアルフィノは、決闘裁判で蒼天騎士のグリノーらと戦い、勝利を収めて潔白を証明した。神聖裁判所にいる「オルシュファン」と話そう。	蒼天の騎士
オルシュファンから、勝利を祝して黒チョコボホイッスルを貰った。これを使えば、黒チョコボを呼び、いずれは空を旅することができるだろう。									オルシュファンから、勝利を祝して黒チョコボホイッスルを貰った。これを使えば、黒チョコボを呼び、いずれは空を旅することができるだろう。	蒼天の騎士
エドモン・ド・フォルタン伯爵と話す									エドモン・ド・フォルタン伯爵と話す	蒼天の騎士
神殿騎士団本部のアイメリクと話す									神殿騎士団本部のアイメリクと話す	蒼天の騎士
神聖裁判所のオルシュファンと話す									神聖裁判所のオルシュファンと話す	蒼天の騎士
オルシュファンと話す									オルシュファンと話す	蒼天の騎士
アルトアレール様、エマネラン様……双方の任務が、無事に終了したようですね。只今、主人を呼んで参ります……しばらくお待ちください。									アルトアレール様、エマネラン様……双方の任務が、無事に終了したようですね。只今、主人を呼んで参ります……しばらくお待ちください。	蒼天の騎士
……おそらく、告発したグリノー卿は操り人形に過ぎぬ。十中八九、ゼーメル伯爵家の本家筋が、裏から糸を引いているのであろう。									……おそらく、告発したグリノー卿は操り人形に過ぎぬ。十中八九、ゼーメル伯爵家の本家筋が、裏から糸を引いているのであろう。	蒼天の騎士
奴らとて、本気で異端者なのだと考えてはおらんはずだ。我らフォルタン家が招いた客人が、功績を立てたことをねたみ、嫌がらせをしてきたのだろう。									奴らとて、本気で異端者なのだと考えてはおらんはずだ。我らフォルタン家が招いた客人が、功績を立てたことをねたみ、嫌がらせをしてきたのだろう。	蒼天の騎士
ともあれ、告発が成された以上、裁判を通じて、無実を証明せねばならん。									ともあれ、告発が成された以上、裁判を通じて、無実を証明せねばならん。	蒼天の騎士
ひとまず「神殿騎士団本部」に赴き、「アイメリク」卿に相談するのがよろしかろう。必ずや、力になってくれるはずだ。									ひとまず「神殿騎士団本部」に赴き、「アイメリク」卿に相談するのがよろしかろう。必ずや、力になってくれるはずだ。	蒼天の騎士
Forename！よいタイミングで来てくれた！ちょうど、こちらから向かおうと思っていたところだ。									Forename！よいタイミングで来てくれた！ちょうど、こちらから向かおうと思っていたところだ。	蒼天の騎士
皇都防衛戦では、世話になったな。そして祝賀会では、我らが退席した後、さまざまな事があったと聞いている……。									皇都防衛戦では、世話になったな。そして祝賀会では、我らが退席した後、さまざまな事があったと聞いている……。	蒼天の騎士
あの時は力になれず、すまなかった……。ともかく今は、目前の問題への対処を進めよう。									あの時は力になれず、すまなかった……。ともかく今は、目前の問題への対処を進めよう。	蒼天の騎士
