石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
混交林を抜けた先に、カステッルム・ベロジナを一望できる絶好のポイントがある。まずは、そこまで行こう。									混交林を抜けた先に、カステッルム・ベロジナを一望できる絶好のポイントがある。まずは、そこまで行こう。	紅蓮の炎
今のところ、静かなものね……。									今のところ、静かなものね……。	紅蓮の炎
帝国軍とて、バエサルの長城が、エオルゼア同盟軍に占領されていることは先刻承知。カステッルム・ベロジナの防衛も固めているはずだが……。									帝国軍とて、バエサルの長城が、エオルゼア同盟軍に占領されていることは先刻承知。カステッルム・ベロジナの防衛も固めているはずだが……。	紅蓮の炎
偵察ポイントはこの先だが、敵拠点からも、見通しがいい場所なのでね……。夜陰に紛れて前進し、望遠鏡を使って敵情を探るつもりだ。									偵察ポイントはこの先だが、敵拠点からも、見通しがいい場所なのでね……。夜陰に紛れて前進し、望遠鏡を使って敵情を探るつもりだ。	紅蓮の炎
それでも、いつ敵兵に見つかって戦闘になるとも限らない。常に武器を構えられるようしておいてくれよ。									それでも、いつ敵兵に見つかって戦闘になるとも限らない。常に武器を構えられるようしておいてくれよ。	紅蓮の炎
これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。									これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。	紅蓮の炎
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。									しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。	紅蓮の炎
はぁ、はぁ、はぁ……手も足も出なかった……。									はぁ、はぁ、はぁ……手も足も出なかった……。	紅蓮の炎
アリゼー、今は身体を休めることだけを考えてくれ！									アリゼー、今は身体を休めることだけを考えてくれ！	紅蓮の炎
三人がかりで仕留められなかったとは……。敵将ゼノス……恐るべし……。									三人がかりで仕留められなかったとは……。敵将ゼノス……恐るべし……。	紅蓮の炎
…………。									…………。	紅蓮の炎
ヤ・シュトラのこと、やっぱり心配よね？まだまだ油断はできないけれど、今のところは安定してるわ。									ヤ・シュトラのこと、やっぱり心配よね？まだまだ油断はできないけれど、今のところは安定してるわ。	紅蓮の炎
アタシを守ってくれて……ヤ・シュトラは……。									アタシを守ってくれて……ヤ・シュトラは……。	紅蓮の炎
はぁ……はぁ……。ど、同志たちは……どうなって……。									はぁ……はぁ……。ど、同志たちは……どうなって……。	紅蓮の炎
……ご苦労だったな。貴様たちの協力もあって、負傷者の救出もあらかた済んだ……。									……ご苦労だったな。貴様たちの協力もあって、負傷者の救出もあらかた済んだ……。	紅蓮の炎
Forenameよ……。貴様はよくやった、間違っても己を責めるなよ……。今はただ、今できることを考え、共に最善を尽くすのだ。									Forenameよ……。貴様はよくやった、間違っても己を責めるなよ……。今はただ、今できることを考え、共に最善を尽くすのだ。	紅蓮の炎
…………。									…………。	紅蓮の炎
うぅ……メッフリッドさん……。オレに、もっと戦い方を教えてくれよッ……！									うぅ……メッフリッドさん……。オレに、もっと戦い方を教えてくれよッ……！	紅蓮の炎
だ、誰か……助けてくれェ！									だ、誰か……助けてくれェ！	紅蓮の炎
悲鳴が！！まだ生きている人がいるんだわ！									悲鳴が！！まだ生きている人がいるんだわ！	紅蓮の炎
