石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
ま、まだ息が…………ゲホッ。									ま、まだ息が…………ゲホッ。	タロースを確保せよ！
あぁ、あなたもアルフィノちゃんも、ありがとうねぇ！こんなに壮大な帰還になるなんて、思ってもみなかったわ！									あぁ、あなたもアルフィノちゃんも、ありがとうねぇ！こんなに壮大な帰還になるなんて、思ってもみなかったわ！	タロースを確保せよ！
それに……やっぱり、私の旦那様は最高よ。どんな難題を前にしたって、必ず解決してしまうんだもの！									それに……やっぱり、私の旦那様は最高よ。どんな難題を前にしたって、必ず解決してしまうんだもの！	タロースを確保せよ！
……なんとも苛烈な奥方だな。									……なんとも苛烈な奥方だな。	タロースを確保せよ！
まあ、それはさておき、おあつらえ向きに、身分や立場を問わず、人が集まってきているようだ。									まあ、それはさておき、おあつらえ向きに、身分や立場を問わず、人が集まってきているようだ。	タロースを確保せよ！
彼らに、伝言役となってもらい、ユールモアにいるすべての立場の者に集まってもらおう。チャイ・ヌズ殿の就任挨拶を聞いてもらうためにな。									彼らに、伝言役となってもらい、ユールモアにいるすべての立場の者に集まってもらおう。チャイ・ヌズ殿の就任挨拶を聞いてもらうためにな。	タロースを確保せよ！
ゲートタウンのチャイ・ヌズは、就任挨拶を行おうとしているようだ。									ゲートタウンのチャイ・ヌズは、就任挨拶を行おうとしているようだ。	ユールモアの新たな誓い
クラウンリフトのチャッデンと話す									クラウンリフトのチャッデンと話す	ユールモアの新たな誓い
アルフィノと話す									アルフィノと話す	ユールモアの新たな誓い
カイ・シルと話す									カイ・シルと話す	ユールモアの新たな誓い
結局、みんなの後をついてまわるだけでしたけど……ユールモアや自分のことを、たくさん考えられました。漠然としていた自分の気持ちも、少し見えてきた気がします。									結局、みんなの後をついてまわるだけでしたけど……ユールモアや自分のことを、たくさん考えられました。漠然としていた自分の気持ちも、少し見えてきた気がします。	ユールモアの新たな誓い
