フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
キャンプ・オーバールックのアルフィノは、落ち着いたようだ。									キャンプ・オーバールックのアルフィノは、落ち着いたようだ。	星影に零れて
アルフィノから、帰還の報告を頼まれた。キャンプ・オーバールックの「ブルーエイディン少甲佐」と話そう。									アルフィノから、帰還の報告を頼まれた。キャンプ・オーバールックの「ブルーエイディン少甲佐」と話そう。	星影に零れて
ブルーエイディン少甲佐から、蛮神「タイタン」の討伐を感謝された。その夜、アリゼーと、互いのこれまでについて話し合った。キャンプ・オーバールックの「アルフィノ」と話そう。									ブルーエイディン少甲佐から、蛮神「タイタン」の討伐を感謝された。その夜、アリゼーと、互いのこれまでについて話し合った。キャンプ・オーバールックの「アルフィノ」と話そう。	星影に零れて
アルフィノから、そろそろ出発したいと言われた。キャンプ・オーバールックで「アリゼー」を探そう。									アルフィノから、そろそろ出発したいと言われた。キャンプ・オーバールックで「アリゼー」を探そう。	星影に零れて
アリゼーを見つけた。彼女たちは、ガ・ブを黒渦団に預けることを決断した。決意も新たに、ベスパーベイの「砂の家」に向かおう。									アリゼーを見つけた。彼女たちは、ガ・ブを黒渦団に預けることを決断した。決意も新たに、ベスパーベイの「砂の家」に向かおう。	星影に零れて
砂の家に入り、ウリエンジェと話した。世界の統合についての話と、召喚用クリスタルの取引についての情報を得た。砂の家の「アルフィノ」と話そう。									砂の家に入り、ウリエンジェと話した。世界の統合についての話と、召喚用クリスタルの取引についての情報を得た。砂の家の「アルフィノ」と話そう。	星影に零れて
アルフィノと話した。彼は、アリゼーのウリエンジェに対する態度に、違和感を感じているらしい。南ザナラーンのリトルアラミゴにいる「アリゼー」と話そう。									アルフィノと話した。彼は、アリゼーのウリエンジェに対する態度に、違和感を感じているらしい。南ザナラーンのリトルアラミゴにいる「アリゼー」と話そう。	星影に零れて
アリゼーと話した。彼女はウリエンジェのことで、何か気がかりなことがあるようだ。ともかく、クリスタルの取引について、情報収集を開始しよう。									アリゼーと話した。彼女はウリエンジェのことで、何か気がかりなことがあるようだ。ともかく、クリスタルの取引について、情報収集を開始しよう。	星影に零れて
ブルーエイディン少甲佐と話す									ブルーエイディン少甲佐と話す	星影に零れて
アルフィノと話す									アルフィノと話す	星影に零れて
アリゼーを探す									アリゼーを探す	星影に零れて
ベスパーベイの砂の家へ向かう									ベスパーベイの砂の家へ向かう	星影に零れて
アルフィノと話す									アルフィノと話す	星影に零れて
リトルアラミゴのアリゼーと話す									リトルアラミゴのアリゼーと話す	星影に零れて
理由はどうあれ、ガ・ブが蛮神を召喚したことは事実。信徒と化したかもしれない蛮族を、温かく迎えてもらうのは難しいでしょうね……。									理由はどうあれ、ガ・ブが蛮神を召喚したことは事実。信徒と化したかもしれない蛮族を、温かく迎えてもらうのは難しいでしょうね……。	星影に零れて
……………………。									……………………。	星影に零れて
次のことを考える前に……これまでの事情は黒渦団にも伝えてあるが、改めて君から、帰還の報告をしてくれないだろうか？									次のことを考える前に……これまでの事情は黒渦団にも伝えてあるが、改めて君から、帰還の報告をしてくれないだろうか？	星影に零れて
ブルーエイディン少甲佐が、気を揉んでいたからね。戦いの後ですまないが、無事な姿を見せてやってくれ。									ブルーエイディン少甲佐が、気を揉んでいたからね。戦いの後ですまないが、無事な姿を見せてやってくれ。	星影に零れて
ブルーエイディン少甲佐に、帰還の報告をしてくれないかい？君の帰還を、今か今かと待っているはずだからね。									ブルーエイディン少甲佐に、帰還の報告をしてくれないかい？君の帰還を、今か今かと待っているはずだからね。	星影に零れて
お前、戻ったのか！っつーことは、蛮神「タイタン」は……！									お前、戻ったのか！っつーことは、蛮神「タイタン」は……！	星影に零れて
そうかそうか、ご苦労さん！おかげで、俺も部下たちも、肩の荷を下ろせるぜ。									そうかそうか、ご苦労さん！おかげで、俺も部下たちも、肩の荷を下ろせるぜ。	星影に零れて
正直なところ、いくら中途半端な状態でも、近くで蛮神が召喚されたとなりゃ、気が気じゃねぇんだよ。									正直なところ、いくら中途半端な状態でも、近くで蛮神が召喚されたとなりゃ、気が気じゃねぇんだよ。	星影に零れて
