石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
私も、ヘルメスとは面識がありますが、「エルピスの所長」と「客人」として言葉を交わしただけ。彼個人については、一般的な情報しか知りません。									私も、ヘルメスとは面識がありますが、「エルピスの所長」と「客人」として言葉を交わしただけ。彼個人については、一般的な情報しか知りません。	未だ訪れぬ過去
まずは正攻法で、この拠点に滞在している職員たちに、ヘルメスやメーティオンについて質問するのがいいかと。私に心当たりがあるので、こちらへ……。									まずは正攻法で、この拠点に滞在している職員たちに、ヘルメスやメーティオンについて質問するのがいいかと。私に心当たりがあるので、こちらへ……。	未だ訪れぬ過去
ああ、外の空気が気持ちいい。ちょうど、報告書を書き上げたところなんです。									ああ、外の空気が気持ちいい。ちょうど、報告書を書き上げたところなんです。	未だ訪れぬ過去
そこの建物前で、休憩をしている女性……彼女が「イスメーネー」です。									そこの建物前で、休憩をしている女性……彼女が「イスメーネー」です。	未だ訪れぬ過去
私がここに滞在するにあたって準備をしてくれた方なのですが、聞けば、かなり長い間エルピスに勤めている職員だとか。ヘルメスたちのことも、当然よく知っているでしょう。									私がここに滞在するにあたって準備をしてくれた方なのですが、聞けば、かなり長い間エルピスに勤めている職員だとか。ヘルメスたちのことも、当然よく知っているでしょう。	未だ訪れぬ過去
彼女に、あなたが聞きたい質問をぶつけてください。私も何か思うところがあれば聞きますが、主導するのは、お任せしますね。									彼女に、あなたが聞きたい質問をぶつけてください。私も何か思うところがあれば聞きますが、主導するのは、お任せしますね。	未だ訪れぬ過去
そこの建物前で休憩をしている「イスメーネー」に、ヘルメスやメーティオンのことを聞いてみましょう。質問の内容は、終末により詳しいあなたにお任せしますね。									そこの建物前で休憩をしている「イスメーネー」に、ヘルメスやメーティオンのことを聞いてみましょう。質問の内容は、終末により詳しいあなたにお任せしますね。	未だ訪れぬ過去
私に用事、ですか？ええ、時間もあるので構いませんが……。									私に用事、ですか？ええ、時間もあるので構いませんが……。	未だ訪れぬ過去
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。									このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。	未だ訪れぬ過去
イスメーネーへの質問を開始しますか？									イスメーネーへの質問を開始しますか？	未だ訪れぬ過去
こんにちは、イスメーネー。ヘルメス所長について、少し聞きたいことがあるのです。彼女彼の質問に答えていただいても？									こんにちは、イスメーネー。ヘルメス所長について、少し聞きたいことがあるのです。彼女彼の質問に答えていただいても？	未だ訪れぬ過去
