石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
コルットの腕が役立ったようで、何よりだ！実は、おみゃーらの計画に協力したいって奴が、ほかにもおってなぁ。									コルットの腕が役立ったようで、何よりだ！実は、おみゃーらの計画に協力したいって奴が、ほかにもおってなぁ。	萌芽のとき
そいつらと一緒に、ワシらの予備のピックを改造して、大きなヒトでも使えるようにしておいた！ほれ、タロースを造るときに、山肌を崩すって言ってたからな！									そいつらと一緒に、ワシらの予備のピックを改造して、大きなヒトでも使えるようにしておいた！ほれ、タロースを造るときに、山肌を崩すって言ってたからな！	萌芽のとき
ということで、持っていけ！作れるだけ作ったから、数はかなりあるぞ！									ということで、持っていけ！作れるだけ作ったから、数はかなりあるぞ！	萌芽のとき
巡回に行ってた仲間が言うに、すでに「トップラング」に大勢が集まっておるらしい。行って、配ってやるのだ！									巡回に行ってた仲間が言うに、すでに「トップラング」に大勢が集まっておるらしい。行って、配ってやるのだ！	萌芽のとき
今アミティーにいる連中を助けたのは、いざってときのために、ドワーフ以外の協力者がほしかったからなのだが……そこから、こんな縁が結ばれるなんてな！									今アミティーにいる連中を助けたのは、いざってときのために、ドワーフ以外の協力者がほしかったからなのだが……そこから、こんな縁が結ばれるなんてな！	萌芽のとき
あっしも、折を見て手伝いに行くす！みんなで必ずタロースを作り上げましょう！									あっしも、折を見て手伝いに行くす！みんなで必ずタロースを作り上げましょう！	萌芽のとき
ああ、Forename！いいところに来てくれたね。									ああ、Forename！いいところに来てくれたね。	萌芽のとき
アルフィノさんの呼びかけで、みんな、集まって来たんです。いつの間にか、ユールモア市民のことも、怖いと思わなくなってて……こんなことってあるんですね。									アルフィノさんの呼びかけで、みんな、集まって来たんです。いつの間にか、ユールモア市民のことも、怖いと思わなくなってて……こんなことってあるんですね。	萌芽のとき
自由市民の中にも立候補された方はいらっしゃったのですが、体力や腕力が足りず、来られなかった方も多いのです。代わりに、今も作戦の成功を祈ってくださっているでしょう。									自由市民の中にも立候補された方はいらっしゃったのですが、体力や腕力が足りず、来られなかった方も多いのです。代わりに、今も作戦の成功を祈ってくださっているでしょう。	萌芽のとき
大昇降機を動かすだけでも一大事だったのに、さらにデカブツを動かそうだなんて、すげぇよな！									大昇降機を動かすだけでも一大事だったのに、さらにデカブツを動かそうだなんて、すげぇよな！	萌芽のとき
俺たちヴェンモント造船所の職人も、引き続き手伝おう。体力は、いつでも余ってるしな！									俺たちヴェンモント造船所の職人も、引き続き手伝おう。体力は、いつでも余ってるしな！	萌芽のとき
とんでもねぇ計画が始まってると思えば、まさかあの、ダイダロス社の御曹司が噛んでるとはなぁ……。おわったあとに、冷やかしにでも行ってみるか。									とんでもねぇ計画が始まってると思えば、まさかあの、ダイダロス社の御曹司が噛んでるとはなぁ……。おわったあとに、冷やかしにでも行ってみるか。	萌芽のとき
あ、ああ、Forename！あれから調子はどうだ？挨拶もなく帰っちゃって、ちょっと寂しかったんだぞ！									あ、ああ、Forename！あれから調子はどうだ？挨拶もなく帰っちゃって、ちょっと寂しかったんだぞ！	萌芽のとき
ああ……まさか……そんな……どうしよう、この計画ったら……本当に……！？									ああ……まさか……そんな……どうしよう、この計画ったら……本当に……！？	萌芽のとき
お弁当～、お弁当はいかがかネ！大好評の白ミミズは、生も乾燥もあるヨ！									お弁当～、お弁当はいかがかネ！大好評の白ミミズは、生も乾燥もあるヨ！	萌芽のとき
